"Umpire","G","PC","IC","xIC","CC","xCC","CCAx","Acc","xAcc","AAx","minAcc","maxAcc","avgCon","avgFav","avgTRI","avgLev"
"Doug Eddings","26","4095","299","268.5","3796","3826.5","-30.5","92.7","93.4","-0.74","87.7","99.3","92.3","0.5","1.5","0.13"
"Ed Hickox","18","2852","220","199.1","2632","2652.9","-20.9","92.3","93","-0.73","87.3","96.9","92.7","0.6","1.8","0.15"
"Edwin Moscoso","35","5486","294","359.5","5192","5126.5","65.5","94.6","93.4","1.19","90.4","99.1","94.2","0.4","1.2","0.14"
"Erich Bacchus","28","4154","242","275.7","3912","3878.3","33.7","94.2","93.4","0.81","90.9","96.9","94","0.4","1.1","0.12"
"Gabe Morales","29","4596","295","306","4301","4290","11","93.6","93.3","0.24","89.3","98.1","93","0.5","1.3","0.13"
"Greg Gibson","10","1424","112","91.3","1312","1332.7","-20.7","92.1","93.6","-1.45","85.1","96.3","91.8","0.3","1.4","0.12"
"Hunter Wendelstedt","28","4218","276","251.2","3942","3966.8","-24.8","93.5","94","-0.59","89.7","96.5","93.4","0.4","1.2","0.12"
"James Hoye","29","4292","275","285.1","4017","4006.9","10.1","93.6","93.4","0.24","87.5","96.9","93.6","0.5","1.2","0.13"
"Jansen Visconti","29","4557","254","314.6","4303","4242.4","60.6","94.4","93.1","1.33","90.8","97","94","0.5","1.3","0.15"
"Jeff Nelson","25","3903","262","270.3","3641","3632.7","8.3","93.3","93.1","0.21","86.2","97.8","93","0.6","1.5","0.14"
"Jeremie Rehak","26","3892","176","259.6","3716","3632.4","83.6","95.5","93.3","2.15","91","98.5","93.8","0.3","0.9","0.13"
"Jeremy Riggs","29","4181","240","290.3","3941","3890.7","50.3","94.3","93.1","1.2","90.2","98.8","93.1","0.4","1.2","0.15"
"Jerry Layne","18","2832","227","184.4","2605","2647.6","-42.6","92","93.5","-1.5","87.8","95","92.9","0.5","1.6","0.13"
"Jerry Meals","26","3915","284","265.9","3631","3649.1","-18.1","92.7","93.2","-0.46","87.8","96","92.7","0.4","1.5","0.14"
"Jim Reynolds","21","3195","214","211.9","2981","2983.1","-2.1","93.3","93.4","-0.07","89.3","99.2","92.5","0.4","1.3","0.13"
"Jim Wolf","16","2402","150","162.2","2252","2239.8","12.2","93.8","93.2","0.51","90.7","96.6","94","0.4","1.3","0.13"
"John Bacon","11","1803","120","133.3","1683","1669.7","13.3","93.3","92.6","0.74","90.3","95.7","93.2","0.4","1.4","0.13"
"John Libka","32","4888","258","324.7","4630","4563.3","66.7","94.7","93.4","1.36","91.4","97.1","94.1","0.5","1.1","0.13"
"John Tumpane","29","4357*","232*","275.7*","4125*","4081.3*","43.7*","94.7*","93.7*","1*","89.4*","99.4*","94*","0.4*","1.1*","0.14*"
"Jordan Baker","31","4784","274","320","4510","4464","46","94.3","93.3","0.96","89.7","98.6","93.5","0.4","1.2","0.14"
"Jose Navas","6","934","68","64.5","866","869.5","-3.5","92.7","93.1","-0.38","90.6","94.7","93.4","0.5","2","0.17"
"Junior Valentine","36","5226","303","342","4923","4884","39","94.2","93.5","0.75","90.2","98.2","93.9","0.5","1.1","0.13"
"Lance Barksdale","26","3961","216","286.1","3745","3674.9","70.1","94.5","92.8","1.77","90.2","96.8","93.3","0.5","1.2","0.15"
"Lance Barrett","28","3959","289","254.3","3670","3704.7","-34.7","92.7","93.6","-0.88","85.6","97","94.1","0.4","1.3","0.13"
"Larry Vanover","27","4017","281","263.1","3736","3753.9","-17.9","93","93.5","-0.45","88","97.6","93.1","0.5","1.4","0.13"
"Laz Diaz","30","4460","338","302","4122","4158","-36","92.4","93.2","-0.81","88.2","96.6","93","0.5","1.3","0.12"
"Lew Williams","1","161","8","13","153","148","5","95","91.9","3.1","95","95","93.8","0.1","1.7","0.21"
"Malachi Moore","24","3505","277","240.1","3228","3264.9","-36.9","92.1","93.2","-1.05","86.2","96.8","93.1","0.5","1.5","0.13"
"Manny Gonzalez","27","4250","237","281.6","4013","3968.4","44.6","94.4","93.4","1.05","92.1","97.6","93.5","0.5","1.3","0.15"
"Mark Carlson","29","4369","269","272.2","4100","4096.8","3.2","93.8","93.8","0.07","90.7","98.3","93.9","0.4","1.2","0.13"
"Mark Ripperger","29","4355","231","281","4124","4074","50","94.7","93.5","1.15","90.2","99.3","93.9","0.3","1","0.13"
"Mark Wegner","21","3250","175","197.7","3075","3052.3","22.7","94.6","93.9","0.7","88.9","98.2","94.2","0.3","1","0.12"
"Marty Foster","11","1642","137","124.5","1505","1517.5","-12.5","91.7","92.4","-0.76","88.5","94.4","91.9","0.4","1.5","0.12"
"Marvin Hudson","27","4257","253","263.6","4004","3993.4","10.6","94.1","93.8","0.25","89.6","97.4","94.1","0.5","1.3","0.14"
"Mike Estabrook","11","1625","113","99.9","1512","1525.1","-13.1","93","93.9","-0.81","89","97.1","93.4","0.7","1.5","0.15"
"Mike Muchlinski","26","3903","274","266.3","3629","3636.7","-7.7","93","93.2","-0.2","89.1","96.9","93.4","0.4","1.3","0.12"
"Nate Tomlinson","15","2265","135","157.6","2130","2107.4","22.6","94","93","1","90.4","98.1","94","0.3","1.1","0.12"
"Nestor Ceja","33","4921","311","328.2","4610","4592.8","17.2","93.7","93.3","0.35","85.3","97.6","93.3","0.4","1.3","0.14"
"Nic Lentz","30","4357","241","306.7","4116","4050.3","65.7","94.5","93","1.51","90.2","98","93.7","0.3","1","0.13"
"Nick Mahrley","35","5358","340","359.1","5018","4998.9","19.1","93.7","93.3","0.36","88.8","97.5","92.9","0.4","1.3","0.14"
"Pat Hoberg","29","4270","199","276.1","4071","3993.9","77.1","95.3","93.5","1.81","90.1","99.2","94.3","0.4","1","0.14"
"Paul Clemons","1","182","21","11.4","161","170.6","-9.6","88.5","93.8","-5.29","88.5","88.5","88.5","0.3","2.8","0.13"
"Paul Emmel","28","4017","262","259.7","3755","3757.3","-2.3","93.5","93.5","-0.06","89.7","97.1","93.2","0.3","1.1","0.12"
"Phil Cuzzi","29","4267","270","268.2","3997","3998.8","-1.8","93.7","93.7","-0.04","89.6","96.6","93.4","0.5","1.3","0.14"
"Quinn Wolcott","24","3568","196","241.7","3372","3326.3","45.7","94.5","93.2","1.28","88.3","99.2","93.6","0.4","1","0.13"
"Ramon De Jesus","28","4256","287","278.3","3969","3977.7","-8.7","93.3","93.5","-0.21","87.2","99.2","92.7","0.5","1.4","0.13"
"Randy Rosenberg","2","288","21","17.5","267","270.5","-3.5","92.7","93.9","-1.22","90.5","95","92.7","0.3","1.3","0.12"
"Rob Drake","20","3018","240","208.7","2778","2809.3","-31.3","92","93.1","-1.04","87.6","95.1","92.9","0.5","1.5","0.13"
"Roberto Ortiz","29","4332","262","298.3","4070","4033.7","36.3","94","93.1","0.84","88.9","98","93.9","0.5","1.2","0.13"
"Ron Kulpa","20","3129","215","193.9","2914","2935.1","-21.1","93.1","93.8","-0.67","89.5","97.9","93.7","0.4","1.5","0.14"
"Ryan Additon","27","4057","272","281.1","3785","3775.9","9.1","93.3","93.1","0.23","88.5","98.5","92.7","0.5","1.3","0.13"
"Ryan Blakney","32","4864","285","323.8","4579","4540.2","38.8","94.1","93.3","0.8","88.1","99.2","93.6","0.4","1.2","0.14"
"Ryan Wills","29","4453","267","287.9","4186","4165.1","20.9","94","93.5","0.47","90.1","97.4","93.7","0.5","1.3","0.14"
"Scott Barry","23","3491","207","219.6","3284","3271.4","12.6","94.1","93.7","0.36","90.9","97","93.9","0.4","1.1","0.12"
"Sean Barber","30","4461","256","308.3","4205","4152.7","52.3","94.3","93.1","1.17","91.3","97.7","93.8","0.4","1.1","0.12"
"Shane Livensparger","35","5293","278","339","5015","4954","61","94.7","93.6","1.15","91","97.7","94.4","0.3","1.1","0.13"
"Stu Scheurwater","27","4049","272","253.4","3777","3795.6","-18.6","93.3","93.7","-0.46","88.4","97.8","93","0.5","1.3","0.13"
"Ted Barrett","28","4444","341","308.7","4103","4135.3","-32.3","92.3","93.1","-0.73","85.8","99.2","93.1","0.5","1.6","0.13"
"Todd Tichenor","24","3778","221","258.3","3557","3519.7","37.3","94.2","93.2","0.99","90.2","97.8","93.6","0.4","1.2","0.13"
"Tom Hallion","10","1568","115","102.1","1453","1465.9","-12.9","92.7","93.5","-0.82","90.4","95.8","93.3","0.7","1.6","0.14"
"Tripp Gibson","30","4579","228","279.6","4351","4299.4","51.6","95","93.9","1.13","87.8","98.2","94.3","0.5","1","0.14"
"Vic Carapazza","28","4371","258","296.2","4113","4074.8","38.2","94.1","93.2","0.87","87.6","97.7","93.9","0.5","1.2","0.13"
"Will Little","28","4238","225","285.6","4013","3952.4","60.6","94.7","93.3","1.43","90.1","98.2","93.8","0.5","1.1","0.14"
