"Umpire","G","PC","IC","xIC","CC","xCC","CCAx","Acc","xAcc","AAx","minAcc","maxAcc","avgCon","avgFav","avgTRI","avgLev"
"Adam Beck","32","4798","265","318.4","4533","4479.6","53.4","94.5","93.4","1.11","88.9","97.9","94.1","0.5","1.2","0.14"
"Adam Hamari","31","4555","235","293.5","4320","4261.5","58.5","94.8","93.6","1.28","91","98.2","94.4","0.3","1","0.13"
"Adrian Johnson","30","4596","318","318.5","4278","4277.5","0.5","93.1","93.1","0.01","86.6","96.6","92.9","0.4","1.5","0.14"
"Alan Porter","28","4499","257","325.1","4242","4173.9","68.1","94.3","92.8","1.51","91.4","97.8","93.2","0.4","1.3","0.14"
"Alex MacKay","6","917","53","54.2","864","862.8","1.2","94.2","94.1","0.13","91.1","96.5","93.7","0.5","1.1","0.13"
"Alex Tosi","21","3356","180","240.5","3176","3115.5","60.5","94.6","92.8","1.8","90.7","99.4","93.4","0.5","1.1","0.13"
"Alfonso Marquez","26","4076","238","263.2","3838","3812.8","25.2","94.2","93.5","0.62","90.1","97.1","94.2","0.3","1.1","0.12"
"Andy Fletcher","29","4151","317","273.4","3834","3877.6","-43.6","92.4","93.4","-1.05","86.5","96.9","93.1","0.5","1.4","0.13"
"Angel Hernandez","28","4287","281","292.5","4006","3994.5","11.5","93.4","93.2","0.27","87.6","97.1","92.6","0.4","1.3","0.13"
"Ben May","29","4258","241","278.2","4017","3979.8","37.2","94.3","93.5","0.87","91.3","97.7","94.4","0.4","1.1","0.13"
"Bill Miller","31","4556","294","297.2","4262","4258.8","3.2","93.5","93.5","0.07","89.6","96.9","93.8","0.5","1.2","0.13"
"Bill Welke","20","3098","219","208.2","2879","2889.8","-10.8","92.9","93.3","-0.35","86.8","96","92.8","0.4","1.3","0.12"
"Brennan Miller","14","2090","140","138","1950","1952","-2","93.3","93.4","-0.09","89.4","95.6","93.8","0.5","1.2","0.12"
"Brian Knight","27","4145","226","259.2","3919","3885.8","33.2","94.5","93.7","0.8","89.8","97.7","93.5","0.4","1.2","0.14"
"Brian O'Nora","20","2941","197","187.3","2744","2753.7","-9.7","93.3","93.6","-0.33","88.7","96.8","93.4","0.4","1.1","0.12"
"Brock Ballou","7","1100","57","76.1","1043","1023.9","19.1","94.8","93.1","1.74","92.5","96.1","95.2","0.5","1.2","0.15"
"Bruce Dreckman","27","3996","266","247.9","3730","3748.1","-18.1","93.3","93.8","-0.45","87.4","97.5","94.1","0.5","1.3","0.13"
"Carlos Torres","31","4764","296","319.8","4468","4444.2","23.8","93.8","93.3","0.5","89.6","97.4","93.4","0.3","1.2","0.13"
"CB Bucknor","29","4236","340","268.5","3896","3967.5","-71.5","92","93.7","-1.69","86.6","97.2","92.1","0.5","1.6","0.14"
"Chad Fairchild","27","4108","233","260.1","3875","3847.9","27.1","94.3","93.7","0.66","90.3","99.2","93.7","0.4","1.2","0.14"
"Chad Whitson","28","4195","241","268.7","3954","3926.3","27.7","94.3","93.6","0.66","87.9","98.5","93.2","0.5","1.3","0.15"
"Charlie Ramos","23","3501","222","214.5","3279","3286.5","-7.5","93.7","93.9","-0.21","89.9","97.9","94.3","0.4","1.3","0.13"
"Chris Conroy","30","4372","282","309.1","4090","4062.9","27.1","93.5","92.9","0.62","89","96.3","93.4","0.5","1.1","0.12"
"Chris Guccione","28","4456","278","296","4178","4160","18","93.8","93.4","0.4","90.6","97.1","93.8","0.5","1.4","0.14"
"Chris Segal","32","4832","294","297.9","4538","4534.1","3.9","93.9","93.8","0.08","87.9","99.2","93.8","0.4","1.2","0.13"
"Clint Vondrak","29","4283","261","274.1","4022","4008.9","13.1","93.9","93.6","0.31","89.4","99.3","93.4","0.4","1.2","0.13"
"Cory Blaser","29","4045","238","271","3807","3774","33","94.1","93.3","0.82","90.5","98.4","93.7","0.6","1.1","0.14"
"D.J. Reyburn","27","4046","271","277.9","3775","3768.1","6.9","93.3","93.1","0.17","89.4","96.3","93.6","0.5","1.4","0.14"
"Dan Bellino","31","4720","244","304.8","4476","4415.2","60.8","94.8","93.5","1.29","90","99.4","94.6","0.3","1.1","0.14"
"Dan Iassogna","29","4406","318","292.3","4088","4113.7","-25.7","92.8","93.4","-0.58","87.6","95.9","93.2","0.5","1.4","0.13"
"Dan Merzel","31","4614","265","308.3","4349","4305.7","43.3","94.3","93.3","0.94","89.8","99.2","93.8","0.4","1.1","0.13"
"David Arrieta","2","269","23","21.5","246","247.5","-1.5","91.4","92","-0.54","91.4","91.5","92.6","0.3","1.1","0.1"
"David Rackley","27","3839*","196*","242.8*","3643*","3596.2*","46.8*","94.9*","93.7*","1.22*","90.6*","99.3*","93.9*","0.5*","1*","0.14*"
