"Umpire","G","PC","IC","xIC","CC","xCC","CCAx","Acc","xAcc","AAx","minAcc","maxAcc","avgCon","avgFav","avgTRI","avgLev"
"Adam Hamari","37","5235","421","492.2","4814","4742.8","71.2","92","90.6","1.36","85.1","95.6","93.3","0.4","1.3","0.12"
"Adrian Johnson","29","4354","435","408.8","3919","3945.2","-26.2","90","90.6","-0.6","82.8","97.1","92.3","0.3","1.8","0.12"
"Alan Porter","27","4236","382","406.2","3854","3829.8","24.2","91","90.4","0.57","86.8","97.1","92.7","0.4","1.8","0.13"
"Alfonso Marquez","27","4140","387","398.7","3753","3741.3","11.7","90.7","90.4","0.28","86.6","95.2","92.7","0.7","1.9","0.13"
"Andy Fletcher","31","4725","516","451.1","4209","4273.9","-64.9","89.1","90.5","-1.37","82.2","94.6","92.2","0.5","2.2","0.13"
"Angel Hernandez","31","4822","486","470.4","4336","4351.6","-15.6","89.9","90.2","-0.32","86","95.4","92.3","0.5","2","0.13"
"Anthony Johnson","1","161","13","13.1","148","147.9","0.1","91.9","91.9","0.07","91.9","91.9","93.8","1.1","1.5","0.12"
"Ben May","22","3230","267","298.9","2963","2931.1","31.9","91.7","90.7","0.99","84.1","96.7","93.2","0.4","1.6","0.13"
"Bill Miller","31","4701","450","464.4","4251","4236.6","14.4","90.4","90.1","0.31","83.2","94.8","92.8","0.4","1.8","0.12"
"Bill Welke","28","4172","413","413.1","3759","3758.9","0.1","90.1","90.1","0","82.7","95.5","92.4","0.5","1.9","0.13"
"Bob Davidson","29","4461","490","427.6","3971","4033.4","-62.4","89","90.4","-1.4","81.4","96.5","91.7","0.6","2.1","0.12"
"Brian Gorman","20","2964","327","297.7","2637","2666.3","-29.3","89","90","-0.99","84.7","92.4","92","0.5","1.9","0.11"
"Brian Knight","29","4255","403","413.6","3852","3841.4","10.6","90.5","90.3","0.25","85.2","94.2","92.5","0.6","1.9","0.14"
"Brian O'Nora","26","3848","399","357.1","3449","3490.9","-41.9","89.6","90.7","-1.09","85.5","94.3","92.3","0.6","2","0.13"
"Bruce Dreckman","20","3055","330","291.1","2725","2763.9","-38.9","89.2","90.5","-1.27","85.2","94.1","92.6","0.5","2","0.12"
"Carlos Torres","5","788","100","86.3","688","701.7","-13.7","87.3","89","-1.74","84.9","89.3","90.7","0.2","2.7","0.14"
"CB Bucknor","27","3910","356","388","3554","3522","32","90.9","90.1","0.82","83.6","96.6","93.2","0.5","1.8","0.13"
"Chad Fairchild","27","4155","371","400.8","3784","3754.2","29.8","91.1","90.4","0.72","85.1","95.2","92.8","0.5","1.9","0.13"
"Chris Conroy","29","4414","382","419.3","4032","3994.7","37.3","91.3","90.5","0.84","83.5","96.2","93.3","0.5","1.6","0.13"
"Chris Guccione","31","4581","410","455.5","4171","4125.5","45.5","91","90.1","0.99","85","97.3","92.8","0.5","1.7","0.13"
"Chris Segal","28","4280","379","407.4","3901","3872.6","28.4","91.1","90.5","0.66","87.7","94.9","92.7","0.5","1.7","0.13"
"Clint Fagan","31","4582","386","448.1","4196","4133.9","62.1","91.6","90.2","1.36","87.4","95.5","93","0.4","1.5","0.12"
"Cory Blaser","31","4682","428","450.9","4254","4231.1","22.9","90.9","90.4","0.49","85.7","94.9","93","0.5","1.8","0.13"
"D.J. Reyburn","20","2881","271","281.1","2610","2599.9","10.1","90.6","90.2","0.35","85.9","94.5","92.5","0.5","1.7","0.13"
"Dale Scott","27","4062","415","386.4","3647","3675.6","-28.6","89.8","90.5","-0.7","84.8","94","91.7","0.7","2","0.13"
"Dan Bellino","30","4460","411","418","4049","4042","7","90.8","90.6","0.16","85.5","95.7","92.8","0.6","1.8","0.13"
"Dan Iassogna","31","4492","471","440","4021","4052","-31","89.5","90.2","-0.69","83.3","93.8","92","0.6","1.9","0.12"
"Dana DeMuth","24","3568","330","325.1","3238","3242.9","-4.9","90.8","90.9","-0.14","84.4","95","93.1","0.7","1.8","0.13"
"David Rackley","27","4005","444","396.9","3561","3608.1","-47.1","88.9","90.1","-1.18","83.7","95","91.9","0.5","2","0.12"
"Doug Eddings","30","4314","429","407.7","3885","3906.3","-21.3","90.1","90.5","-0.49","83.3","95.5","92.3","0.5","1.7","0.12"
"Ed Hickox","27","4037","447","390.6","3590","3646.4","-56.4","88.9","90.3","-1.4","79.2","94.2","92.4","0.5","2.1","0.13"
"Eric Cooper","27","4144","336","414.5","3808","3729.5","78.5","91.9","90","1.9","86.7","97.4","93.1","0.4","1.6","0.13"
"Fieldin Culbreth","28","4420","396","433.1","4024","3986.9","37.1","91","90.2","0.84","82.8","96.7","92.8","0.6","1.8","0.13"
"Gabe Morales","33","4910","424","455.9","4486","4454.1","31.9","91.4","90.7","0.65","86.5","96.5","92.9","0.5","1.7","0.13"
"Gary Cederstrom","27","4043","393","395.1","3650","3647.9","2.1","90.3","90.2","0.05","85.3","95.2","92.4","0.4","1.7","0.11"
"Gerry Davis","29","4461","492","433.6","3969","4027.4","-58.4","89","90.3","-1.31","82.1","92.3","91.3","0.6","2.1","0.13"
"Greg Gibson","29","4664","431","453.6","4233","4210.4","22.6","90.8","90.3","0.48","84.4","95.1","93.6","0.6","1.9","0.13"
"Hunter Wendelstedt","29","4257*","436*","410.8*","3821*","3846.2*","-25.2*","89.8*","90.4*","-0.59*","86.1*","93*","91.9*","0.6*","1.8*","0.12*"
"James Hoye","27","4186","389","416","3797","3770","27","90.7","90.1","0.64","87.6","94.8","93","0.6","1.8","0.13"
"Jeff Kellogg","23","3612","335","348.8","3277","3263.2","13.8","90.7","90.3","0.38","87","95.1","93.3","0.4","1.8","0.12"
"Jeff Nelson","31","4771","439","471.4","4332","4299.6","32.4","90.8","90.1","0.68","86.2","94.8","93","0.4","1.9","0.13"
"Jerry Layne","12","1619","192","174.2","1427","1444.8","-17.8","88.1","89.2","-1.1","81.5","94.9","92.2","0.6","2","0.12"
"Jerry Meals","31","4997","492","482.9","4505","4514.1","-9.1","90.2","90.3","-0.18","84","94.1","91.7","0.5","2","0.13"
"Jim Joyce","22","3338","327","322.6","3011","3015.4","-4.4","90.2","90.3","-0.13","84.6","94","93","0.6","1.9","0.13"
"Jim Reynolds","32","4849","441","467","4408","4382","26","90.9","90.4","0.54","85.5","95.6","92.8","0.7","1.8","0.13"
"Jim Wolf","28","4065","379","409.8","3686","3655.2","30.8","90.7","89.9","0.76","86.2","94.8","92.6","0.6","1.6","0.12"
"Joe West","34","5093","538","478.5","4555","4614.5","-59.5","89.4","90.6","-1.17","84.5","94.4","93.1","0.5","2","0.13"
"John Hirschbeck","30","4577","476","454","4101","4123","-22","89.6","90.1","-0.48","84.4","92.7","91.2","0.5","1.9","0.12"
"John Tumpane","29","4256","360","405.9","3896","3850.1","45.9","91.5","90.5","1.08","84.9","96.4","92.7","0.5","1.5","0.12"
"Jordan Baker","30","4590","456","448.3","4134","4141.7","-7.7","90.1","90.2","-0.17","85.1","94.7","92.1","0.5","1.9","0.13"
"Kerwin Danley","24","3655","384","351.2","3271","3303.8","-32.8","89.5","90.4","-0.9","82.7","95.5","92.5","0.6","1.9","0.12"
"Lance Barksdale","28","4021","307","367.9","3714","3653.1","60.9","92.4","90.9","1.51","85.4","97.7","93.7","0.4","1.3","0.12"
"Lance Barrett","28","4245","407","405.8","3838","3839.2","-1.2","90.4","90.4","-0.03","85.2","96.1","92.4","0.5","1.8","0.13"
"Larry Vanover","29","4430","478","444.2","3952","3985.8","-33.8","89.2","90","-0.76","81.6","94.2","92.8","0.4","2","0.12"
"Laz Diaz","30","4710","475","467.9","4235","4242.1","-7.1","89.9","90.1","-0.15","82.8","95.9","92","0.5","2","0.13"
"Manny Gonzalez","33","5073","455","499.6","4618","4573.4","44.6","91","90.2","0.88","86.8","95.3","93","0.5","1.8","0.13"
"Marcus Pattillo","5","798","95","78.6","703","719.4","-16.4","88.1","90.1","-2.05","82.9","92.4","91.4","0.7","2.4","0.13"
"Mark Carlson","30","4641","437","453","4204","4188","16","90.6","90.2","0.35","85.9","94.4","92","0.5","1.8","0.12"
"Mark Ripperger","27","3987","345","387.5","3642","3599.5","42.5","91.3","90.3","1.07","85.8","95.8","92.8","0.4","1.6","0.12"
"Mark Wegner","30","4656","412","442.1","4244","4213.9","30.1","91.2","90.5","0.65","83.8","96.7","92.8","0.5","1.7","0.13"
"Marty Foster","28","4463","433","427.5","4030","4035.5","-5.5","90.3","90.4","-0.12","84.8","94.6","92.1","0.5","1.9","0.12"
"Marvin Hudson","31","4530","450","440.2","4080","4089.8","-9.8","90.1","90.3","-0.22","85.8","96.1","92.4","0.5","1.8","0.12"
"Mike DiMuro","16","2502","276","237","2226","2265","-39","89","90.5","-1.56","85.5","93.9","92.7","0.5","2.2","0.13"
"Mike Estabrook","29","4425","386","408.2","4039","4016.8","22.2","91.3","90.8","0.5","85.2","95.5","92.8","0.6","1.6","0.12"
"Mike Everitt","29","4316","349","387.9","3967","3928.1","38.9","91.9","91","0.9","85.4","96.4","93.2","0.4","1.5","0.12"
"Mike Muchlinski","29","4213","399","403.1","3814","3809.9","4.1","90.5","90.4","0.1","86.3","94.7","92.1","0.6","1.7","0.12"
"Mike Winters","27","4015","415","372.2","3600","3642.8","-42.8","89.7","90.7","-1.07","83.5","94","92.3","0.5","2.1","0.13"
"Pat Hoberg","23","3318","279","309.3","3039","3008.7","30.3","91.6","90.7","0.91","80.7","97.4","92.4","0.5","1.4","0.11"
"Paul Emmel","31","4706","449","441.4","4257","4264.6","-7.6","90.5","90.6","-0.16","84.4","95.8","93.1","0.6","1.8","0.13"
"Paul Nauert","25","3599","377","342.1","3222","3256.9","-34.9","89.5","90.5","-0.97","84.9","93.1","91.7","0.8","2","0.13"
"Paul Schrieber","29","4496","411","441.5","4085","4054.5","30.5","90.9","90.2","0.68","85.8","95","92.9","0.7","1.9","0.14"
"Phil Cuzzi","28","4222","347","406.7","3875","3815.3","59.7","91.8","90.4","1.41","87.2","95.6","92.7","0.4","1.6","0.13"
"Quinn Wolcott","24","3609","312","361.8","3297","3247.2","49.8","91.4","90","1.38","87.1","95.4","93.1","0.6","1.8","0.14"
"Rob Drake","29","4359","485","424.1","3874","3934.9","-60.9","88.9","90.3","-1.4","84.1","96.7","92.4","0.7","2.1","0.13"
"Ron Kulpa","30","4473","453","412.2","4020","4060.8","-40.8","89.9","90.8","-0.91","79.5","96.1","92.3","0.5","1.8","0.12"
"Ryan Blakney","21","3227","274","306.3","2953","2920.7","32.3","91.5","90.5","1","82.4","96.9","92.5","0.6","1.7","0.13"
"Sam Holbrook","26","4068","384","394.8","3684","3673.2","10.8","90.6","90.3","0.27","86","94.7","92.8","0.6","1.8","0.12"
"Scott Barry","21","3008","280","277","2728","2731","-3","90.7","90.8","-0.1","85.2","95.1","93","0.5","1.6","0.12"
"Sean Barber","12","1804","179","185.5","1625","1618.5","6.5","90.1","89.7","0.36","78.4","95.9","92.4","0.7","2.1","0.14"
