"Umpire","G","PC","IC","xIC","CC","xCC","CCAx","Acc","xAcc","AAx","minAcc","maxAcc","avgCon","avgFav","avgTRI","avgLev"
"Stu Scheurwater","4","581","64","54.5","517","526.5","-9.5","89","90.6","-1.63","87.2","91.6","93.8","1.2","2.4","0.15"
"Ted Barrett","31","4746","461","422.8","4285","4323.2","-38.2","90.3","91.1","-0.81","83.1","94.4","92.1","0.6","1.9","0.13"
"Tim Timmons","29","4372","437","422","3935","3950","-15","90","90.3","-0.34","84.3","93.9","92.6","0.5","1.9","0.13"
"Tim Welke","27","4195","476","401","3719","3794","-75","88.7","90.4","-1.79","81.7","94.5","91.6","0.5","2.1","0.12"
"Toby Basner","21","3067","245","292.4","2822","2774.6","47.4","92","90.5","1.54","86.2","97.2","93.3","0.5","1.4","0.12"
"Todd Tichenor","25","3835","381","382.6","3454","3452.4","1.6","90.1","90","0.04","85.8","93.2","93","0.6","1.9","0.12"
"Tom Hallion","26","3995","445","381.8","3550","3613.2","-63.2","88.9","90.4","-1.58","83.5","93.5","92.2","0.5","2.2","0.13"
"Tom Woodring","13","2053","173","194.7","1880","1858.3","21.7","91.6","90.5","1.06","85","95.5","93.9","0.6","1.7","0.13"
"Tony Randazzo","29","4083","380","374.5","3703","3708.5","-5.5","90.7","90.8","-0.14","83","95.6","92.4","0.5","1.7","0.13"
"Tripp Gibson","30","4393","345","405.3","4048","3987.7","60.3","92.1","90.8","1.37","84.4","96.1","93.7","0.4","1.6","0.14"
"Vic Carapazza","30","4632","432","458.4","4200","4173.6","26.4","90.7","90.1","0.57","82.3","95.5","92.5","0.5","1.8","0.12"
"Will Little","23","3470","254","340.1","3216","3129.9","86.1","92.7","90.2","2.48","85.9","95.6","93.1","0.3","1.5","0.13"
