"","Date","Umpire","Home","Away","R [H]","R [A]","PC","IC","xIC","CC","xCC","CCAx","Acc","xAcc","AAx","Con","Fav [H]","totRI"
"","2017-10-01","Alan Porter","BOS","HOU","3","4","131","9","11.8","122","119.2","2.8","93.1","91","2.2","92.4","-0.1","1.08"
"","2017-10-01","Chris Guccione","WSH","PIT","8","11","251","16","27.7","235","223.3","11.7","93.6","88.9","4.7","94.4","0.54","2.82"
"","2017-10-01","Ben May","SF","SD","5","4","140*","8*","8*","132*","132*","0*","94.3*","94.3*","0*","95.7*","0.11*","1.01*"
"","2017-10-01","Mike Estabrook","TEX","OAK","2","5","141","18","13.3","123","127.7","-4.7","87.2","90.5","-3.3","91.5","-0.3","2.08"
"","2017-10-01","Sean Barber","PHI","NYM","11","0","170","12","15.7","158","154.3","3.7","92.9","90.8","2.2","90","-0.06","1.52"
"","2017-10-01","Kerwin Danley","NYY","TOR","1","2","129","17","11.3","112","117.7","-5.7","86.8","91.2","-4.4","89.1","0.09","1.59"
"","2017-10-01","Laz Diaz","LAA","SEA","6","2","128","9","10.8","119","117.2","1.8","93","91.6","1.4","93.8","0.33","0.93"
"","2017-10-01","Jeff Nelson","COL","LAD","3","6","195","14","18.9","181","176.1","4.9","92.8","90.3","2.5","89.7","-0.31","1.49"
"","2017-10-01","Bruce Dreckman","TB","BAL","6","0","139","19","15.8","120","123.2","-3.2","86.3","88.6","-2.3","95","3.05","3.67"
"","2017-10-01","Tim Timmons","MIN","DET","5","1","142","19","14.2","123","127.8","-4.8","86.6","90","-3.4","90.1","-0.52","1.88"
"","2017-10-01","Lance Barrett","CLE","CWS","3","1","133","8","10","125","123","2","94","92.5","1.5","94","-0.42","1.18"
"","2017-10-01","Chris Segal","MIA","ATL","5","8","186","10","15.7","176","170.3","5.7","94.6","91.6","3","93","-0.54","1"
"","2017-10-01","David Rackley","KC","AZ","2","14","185","16","19.1","169","165.9","3.1","91.4","89.7","1.7","91.9","-0.33","2.23"
"","2017-10-01","D.J. Reyburn","STL","MIL","1","6","133*","7*","9.9*","126*","123.1*","2.9*","94.7*","92.5*","2.2*","96.2*","0.39*","0.45*"
"","2017-10-01","Marty Foster","CHC","CIN","1","3","125","14","13.2","111","111.8","-0.8","88.8","89.4","-0.6","92","-0.51","1.79"
"","2017-09-30","Hunter Wendelstedt","BOS","HOU","6","3","163","15","9.8","148","153.2","-5.2","90.8","94","-3.2","93.3","0.31","2.69"
"","2017-09-30","Todd Tichenor","NYY","TOR","2","1","150","8","11.8","142","138.2","3.8","94.7","92.1","2.5","93.3","0.22","0.9"
"","2017-09-30","Mike Winters","CHC","CIN","9","0","189","23","15.5","166","173.5","-7.5","87.8","91.8","-4","89.9","-0.17","2.97"
"","2017-09-30","Ted Barrett","SF","SD","2","3","150","13","10.2","137","139.8","-2.8","91.3","93.2","-1.9","92","0.79","2.21"
"","2017-09-30","Jim Wolf","STL","MIL","7","6","169","14","14.8","155","154.2","0.8","91.7","91.3","0.5","90.5","1.53","2.25"
"","2017-09-30","Bill Welke","TB","BAL","4","3","137","15","12.2","122","124.8","-2.8","89.1","91.1","-2.1","91.2","-0.51","2.31"
"","2017-09-30","Carlos Torres","WSH","PIT","1","4","129","14","11.7","115","117.3","-2.3","89.1","90.9","-1.8","94.6","0.08","1.46"
"","2017-09-30","Dan Bellino","PHI","NYM","4","7","240","20","19.7","220","220.3","-0.3","91.7","91.8","-0.1","95.4","-0.73","3.31"
"","2017-09-30","James Hoye","MIN","DET","2","3","153","11","11.5","142","141.5","0.5","92.8","92.5","0.3","94.8","0","1.14"
"","2017-09-30","Pat Hoberg","CLE","CWS","1","2","139","6","9.4","133","129.6","3.4","95.7","93.2","2.5","97.1","0.16","0.54"
"","2017-09-30","Mark Ripperger","MIA","ATL","10","2","160","12","12.2","148","147.8","0.2","92.5","92.4","0.1","93.1","-1.47","3.09"
"","2017-09-30","Chad Fairchild","KC","AZ","4","3","148","7","9.8","141","138.2","2.8","95.3","93.4","1.9","93.9","0.04","0.9"
"","2017-09-30","Tony Randazzo","TEX","OAK","8","4","165","15","13.6","150","151.4","-1.4","90.9","91.8","-0.9","95.2","-1.02","2.58"
"","2017-09-30","Doug Eddings","COL","LAD","3","5","128","12","12.2","116","115.8","0.2","90.6","90.4","0.2","92.2","-0.35","1.27"
"","2017-09-30","Chris Conroy","LAA","SEA","4","6","152","8","13.1","144","138.9","5.1","94.7","91.4","3.4","96.1","0.01","0.73"
"","2017-09-29","Adam Hamari","NYY","TOR","4","0","153","9","13.4","144","139.6","4.4","94.1","91.3","2.9","91.5","0.15","0.99"
"","2017-09-29","Mike Muchlinski","CHC","CIN","5","4","143","11","11.3","132","131.7","0.3","92.3","92.1","0.2","95.8","-0.08","1.14"
"","2017-09-29","Paul Nauert","WSH","PIT","6","1","155*","14*","15.7*","141*","139.3*","1.7*","91*","89.9*","1.1*","94.2*","-1.02*","2.38*"
"","2017-09-29","Marvin Hudson","PHI","NYM","6","2","140","12","12.2","128","127.8","0.2","91.4","91.3","0.1","90.7","-0.48","1.2"
"","2017-09-29","Andy Fletcher","BOS","HOU","2","3","134","19","11.8","115","122.2","-7.2","85.8","91.2","-5.4","91.8","1","1.94"
"","2017-09-29","Vic Carapazza","TB","BAL","7","0","170*","12*","14.2*","158*","155.8*","2.2*","92.9*","91.7*","1.3*","96.5*","0.56*","2.46*"
"","2017-09-29","Jim Reynolds","CLE","CWS","10","1","172","11","11.5","161","160.5","0.5","93.6","93.3","0.3","90.1","-0.38","1.26"
"","2017-09-29","Tom Hallion","MIA","ATL","6","5","165","17","16.3","148","148.7","-0.7","89.7","90.1","-0.4","91.5","0.3","2.06"
"","2017-09-29","Rob Drake","TEX","OAK","5","3","158","28","15.2","130","142.8","-12.8","82.3","90.4","-8.1","94.3","0.46","3.88"
"","2017-09-29","Lance Barksdale","COL","LAD","9","1","175","14","14.7","161","160.3","0.7","92","91.6","0.4","93.7","-0.4","1.38"
"","2017-09-29","Stu Scheurwater","MIN","DET","6","3","173","10","13.5","163","159.5","3.5","94.2","92.2","2","95.4","0.01","1.39"
"","2017-09-29","Alfonso Marquez","KC","AZ","2","1","160","10","12.7","150","147.3","2.7","93.8","92.1","1.7","95.6","0.31","1.13"
"","2017-09-29","Sam Holbrook","STL","MIL","3","5","154","14","14","140","140","0","90.9","90.9","0","93.5","-0.36","1.48"
"","2017-09-29","Ron Kulpa","LAA","SEA","6","5","149","11","10.3","138","138.7","-0.7","92.6","93.1","-0.5","94.6","0.98","1.22"
"","2017-09-29","Angel Hernandez","SF","SD","8","0","163","24","14","139","149","-10","85.3","91.4","-6.1","91.4","-0.67","3.09"
"","2017-09-28","Bill Miller","CLE","MIN","5","2","133","13","11.5","120","121.5","-1.5","90.2","91.3","-1.1","91.7","0.06","1.54"
"","2017-09-28","Mike Everitt","MIL","CIN","4","3","152","6","9.9","146","142.1","3.9","96.1","93.5","2.6","94.1","0.31","0.57"
"","2017-09-28","Dana DeMuth","WSH","PIT","5","4","156","12","10.5","144","145.5","-1.5","92.3","93.2","-0.9","93.6","0.59","1.47"
"","2017-09-28","Jerry Layne","NYY","TB","6","9","180","12","8.6","168","171.4","-3.4","93.3","95.2","-1.9","93.9","0.27","1.35"
"","2017-09-28","Joe West","BOS","HOU","2","12","191","18","10.8","173","180.2","-7.2","90.6","94.4","-3.8","92.1","1.4","2.34"
"","2017-09-28","Phil Cuzzi","MIA","ATL","7","1","161","10","9.8","151","151.2","-0.2","93.8","93.9","-0.1","97.5","0.09","1.49"
"","2017-09-28","Mark Wegner","STL","CHC","1","2","196","13","17.8","183","178.2","4.8","93.4","90.9","2.4","94.4","-0.77","1.65"
"","2017-09-28","Gerry Davis","TEX","OAK","1","4","141","18","16.6","123","124.4","-1.4","87.2","88.3","-1","90.8","0.56","2.42"
"","2017-09-28","John Tumpane","CWS","LAA","5","4","142*","12*","13.5*","130*","128.5*","1.5*","91.5*","90.5*","1.1*","95.1*","0.84*","1.38*"
"","2017-09-28","Greg Gibson","KC","DET","1","4","124","11","9.5","113","114.5","-1.5","91.1","92.3","-1.2","95.2","0.17","1.45"
"","2017-09-27","Chris Guccione","TEX","HOU","2","12","153","15","9.8","138","143.2","-5.2","90.2","93.6","-3.4","92.8","-0.44","1.54"
"","2017-09-27","Alan Porter","COL","MIA","15","9","176","12","17","164","159","5","93.2","90.4","2.8","92","-0.03","1.61"
"","2017-09-27","Tom Woodring","OAK","SEA","6","5","152","7","13","145","139","6","95.4","91.5","3.9","97.4","0.08","0.48"
"","2017-09-27","Cory Blaser","AZ","SF","4","3","157","14","15.4","143","141.6","1.4","91.1","90.2","0.9","93","0.74","2.12"
"","2017-09-27","Chris Segal","PIT","BAL","5","3","119","11","11.8","108","107.2","0.8","90.8","90.1","0.7","92.4","0.22","0.96"
"","2017-09-27","Tony Randazzo","PHI","WSH","7","5","206","17","17.4","189","188.6","0.4","91.7","91.6","0.2","95.1","0.11","2.83"
"","2017-09-27","Mike Estabrook","NYY","TB","6","1","154","12","9.7","142","144.3","-2.3","92.2","93.7","-1.5","93.5","-0.39","2.19"
"","2017-09-27","Lance Barrett","STL","CHC","1","5","141","9","10.6","132","130.4","1.6","93.6","92.5","1.2","96.5","0.04","0.7"
"","2017-09-27","Larry Vanover","BOS","TOR","10","7","160","19","15.5","141","144.5","-3.5","88.1","90.3","-2.2","94.4","1.39","2.51"
"","2017-09-27","Kerwin Danley","CLE","MIN","4","2","157","11","10.1","146","146.9","-0.9","93","93.6","-0.6","94.3","0.26","0.92"
"","2017-09-27","Ben May","NYM","ATL","7","1","162","11","14.3","151","147.7","3.3","93.2","91.2","2","93.2","0.79","1.31"
