"Umpire","G","PC","IC","xIC","CC","xCC","CCAx","Acc","xAcc","AAx","minAcc","maxAcc","avgCon","avgFav","avgTRI","avgLev"
"David Rackley","26","4092","287","304.5","3805","3787.5","17.5","93","92.6","0.43","85.8","98","93.4","0.4","1.5","0.13"
"Doug Eddings","31","4761","358","357.8","4403","4403.2","-0.2","92.5","92.5","0","88.2","97.9","92.8","0.5","1.6","0.14"
"Ed Hickox","30","4872","408","358.1","4464","4513.9","-49.9","91.6","92.6","-1.02","83.7","96.2","92.9","0.4","1.8","0.13"
"Eric Cooper","30","4666","312","331.3","4354","4334.7","19.3","93.3","92.9","0.41","88.9","96.3","94.2","0.5","1.3","0.12"
"Fieldin Culbreth","26","4046","293","285.5","3753","3760.5","-7.5","92.8","92.9","-0.18","84.6","95.7","92.7","0.5","1.5","0.13"
"Gabe Morales","32","5095","348","363.5","4747","4731.5","15.5","93.2","92.9","0.3","87.3","97.6","93.4","0.5","1.3","0.12"
"Gary Cederstrom","30","4691","427","337.9","4264","4353.1","-89.1","90.9","92.8","-1.9","84.8","94.8","92.4","0.5","1.8","0.13"
"Gerry Davis","28","4301","372","318.7","3929","3982.3","-53.3","91.4","92.6","-1.24","87.4","94.8","92.9","0.5","1.6","0.12"
"Greg Gibson","29","4490","304","322.8","4186","4167.2","18.8","93.2","92.8","0.42","87.1","96.8","93.4","0.5","1.4","0.13"
"Hunter Wendelstedt","31","5130","417","386.9","4713","4743.1","-30.1","91.9","92.5","-0.59","84.7","96.1","92.8","0.6","1.8","0.14"
"James Hoye","28","4472","293","331","4179","4141","38","93.4","92.6","0.85","89.2","97.2","94","0.5","1.3","0.13"
"Jansen Visconti","27","4298","260","315.9","4038","3982.1","55.9","94","92.6","1.3","88.2","97.6","94.2","0.4","1.3","0.14"
"Jeff Kellogg","21","3217","265","247.2","2952","2969.8","-17.8","91.8","92.3","-0.55","87.2","96.3","92.2","0.3","1.5","0.12"
"Jeff Nelson","28","4452","297","322.4","4155","4129.6","25.4","93.3","92.8","0.57","87.8","97.2","93.5","0.4","1.4","0.13"
"Jeremie Rehak","22","3194","210","246.8","2984","2947.2","36.8","93.4","92.3","1.15","88.8","99.3","93.5","0.3","1.3","0.14"
"Jerry Layne","28","4348","315","322.3","4033","4025.7","7.3","92.8","92.6","0.17","86.5","98","92.8","0.6","1.6","0.14"
"Jerry Meals","31","4971","406","367.5","4565","4603.5","-38.5","91.8","92.6","-0.78","85.7","95.5","93.3","0.5","1.7","0.13"
"Jim Reynolds","31","4754","358","362.8","4396","4391.2","4.8","92.5","92.4","0.1","86.3","96.7","92.9","0.5","1.5","0.13"
"Jim Wolf","32","4976","322","345","4654","4631","23","93.5","93.1","0.46","86.1","97","94","0.5","1.3","0.13"
"Joe West","30","4491","421","338.8","4070","4152.2","-82.2","90.6","92.5","-1.83","85.2","95.7","92.3","0.4","1.9","0.14"
"John Libka","14","2157","107","160.6","2050","1996.4","53.6","95","92.6","2.48","92.4","97.3","93.8","0.5","1.1","0.15"
"John Tumpane","33","4985*","319*","378.7*","4666*","4606.3*","59.7*","93.6*","92.4*","1.2*","88.8*","97.9*","93.6*","0.5*","1.3*","0.13*"
"Jordan Baker","30","4554","287","348.5","4267","4205.5","61.5","93.7","92.3","1.35","86.9","97.8","93.7","0.4","1.2","0.13"
"Kerwin Danley","28","4433","370","336.4","4063","4096.6","-33.6","91.7","92.4","-0.76","88.1","95.3","92.3","0.5","1.7","0.13"
"Lance Barksdale","29","4642","297","353","4345","4289","56","93.6","92.4","1.21","89.9","99.1","93.6","0.5","1.4","0.13"
"Lance Barrett","31","4767","375","369.1","4392","4397.9","-5.9","92.1","92.3","-0.12","87.4","95.6","92.5","0.5","1.6","0.13"
"Larry Vanover","29","4476","367","339.4","4109","4136.6","-27.6","91.8","92.4","-0.62","87","96.3","92.5","0.5","1.6","0.13"
"Laz Diaz","29","4438","371","324.2","4067","4113.8","-46.8","91.6","92.7","-1.05","85.5","96.7","93.1","0.6","1.6","0.13"
"Manny Gonzalez","27","4540","301","323.2","4239","4216.8","22.2","93.4","92.9","0.49","89.6","97.4","93.3","0.4","1.5","0.13"
"Mark Carlson","30","4749","370","362.1","4379","4386.9","-7.9","92.2","92.4","-0.17","85.9","95.5","92.8","0.6","1.6","0.13"
"Mark Ripperger","28","4460","327","334.7","4133","4125.3","7.7","92.7","92.5","0.17","87.5","97.1","93.1","0.5","1.5","0.13"
"Mark Wegner","30","4588*","268*","327.6*","4320*","4260.4*","59.6*","94.2*","92.9*","1.3*","90.4*","97.8*","94.2*","0.5*","1.3*","0.14*"
"Marty Foster","25","3802","326","273.1","3476","3528.9","-52.9","91.4","92.8","-1.39","85.5","95.6","92.7","0.6","1.7","0.13"
"Marvin Hudson","30","4792","385","367.7","4407","4424.3","-17.3","92","92.3","-0.36","87.1","97","93","0.5","1.6","0.13"
"Mike DiMuro","16","2540","197","184.3","2343","2355.7","-12.7","92.2","92.7","-0.5","88.4","96.9","94.3","0.5","1.5","0.13"
"Mike Estabrook","32","5112","386","363.2","4726","4748.8","-22.8","92.4","92.9","-0.45","87.3","98","92.3","0.6","1.5","0.13"
"Mike Everitt","3","512","40","39.2","472","472.8","-0.8","92.2","92.3","-0.15","90.5","96.4","95","0.3","1.9","0.14"
"Mike Muchlinski","27","4244","280","288","3964","3956","8","93.4","93.2","0.19","89.4","95.6","93.5","0.6","1.4","0.13"
"Mike Winters","28","4429","358","315.4","4071","4113.6","-42.6","91.9","92.9","-0.96","87.3","97.8","93","0.5","1.7","0.13"
"Nic Lentz","38","6142","394","460.7","5748","5681.3","66.7","93.6","92.5","1.09","87","97.6","93.8","0.5","1.5","0.14"
"Nick Mahrley","21","3252","248","241.7","3004","3010.3","-6.3","92.4","92.6","-0.19","89.1","95.2","93.2","0.4","1.5","0.13"
"Pat Hoberg","31","5029","303","389.6","4726","4639.4","86.6","94","92.3","1.72","88.8","97.2","94","0.5","1.3","0.13"
"Paul Nauert","28","4371","338","308.4","4033","4062.6","-29.6","92.3","92.9","-0.68","84.8","96.9","93.2","0.4","1.5","0.13"
"Phil Cuzzi","28","4224","285","313.7","3939","3910.3","28.7","93.3","92.6","0.68","88.6","97.1","93.2","0.6","1.5","0.15"
"Quinn Wolcott","29","4613","323","344","4290","4269","21","93","92.5","0.46","89.2","96","93.5","0.4","1.5","0.14"
"Ramon De Jesus","19","2900","210","211.5","2690","2688.5","1.5","92.8","92.7","0.05","89","97.2","93.5","0.7","1.6","0.14"
"Rob Drake","17","2606","237","193.3","2369","2412.7","-43.7","90.9","92.6","-1.68","83.5","94.7","92.5","0.6","1.6","0.12"
"Roberto Ortiz","14","2239","171","160.9","2068","2078.1","-10.1","92.4","92.8","-0.45","87.1","95.4","93.7","0.6","1.6","0.13"
"Ron Kulpa","8","1278","82","99.3","1196","1178.7","17.3","93.6","92.2","1.35","89.8","96.7","94.3","0.3","1.2","0.11"
"Ryan Additon","19","2798","189","193.1","2609","2604.9","4.1","93.2","93.1","0.14","88.7","96.4","92.7","0.5","1.3","0.13"
"Ryan Blakney","30","4617","293","342","4324","4275","49","93.7","92.6","1.06","88.9","97.2","93.5","0.4","1.3","0.13"
"Sam Holbrook","31","4881","359","343.8","4522","4537.2","-15.2","92.6","93","-0.31","88.4","95.2","92.9","0.5","1.4","0.12"
"Scott Barry","29","4382","318","313.1","4064","4068.9","-4.9","92.7","92.9","-0.11","87.9","95.3","93.9","0.4","1.3","0.12"
"Sean Barber","25","3822","238","268","3584","3554","30","93.8","93","0.79","91","97.7","93.9","0.5","1.2","0.13"
"Shane Livensparger","12","1768","111","131.6","1657","1636.4","20.6","93.7","92.6","1.17","88","98","93.5","0.7","1.3","0.14"
"Stu Scheurwater","30","4645*","325*","338.9*","4320*","4306.1*","13.9*","93*","92.7*","0.3*","90.4*","96.7*","92.9*","0.3*","1.4*","0.13*"
"Ted Barrett","27","4354","379","318.5","3975","4035.5","-60.5","91.3","92.7","-1.39","80.6","96.9","92.7","0.5","1.9","0.14"
"Tim Timmons","29","4577","372","350.2","4205","4226.8","-21.8","91.9","92.3","-0.48","87.7","95.9","92.1","0.5","1.7","0.13"
"Todd Tichenor","30","4988","334","352","4654","4636","18","93.3","92.9","0.36","87.6","97","93.5","0.5","1.6","0.14"
"Tom Hallion","25","4028","305","287.9","3723","3740.1","-17.1","92.4","92.9","-0.42","89","97.2","93.3","0.5","1.5","0.13"
"Tom Woodring","20","3074","187","236.9","2887","2837.1","49.9","93.9","92.3","1.62","88.6","96.8","93.2","0.3","1.2","0.12"
"Tony Randazzo","28","4182","320","322","3862","3860","2","92.3","92.3","0.05","86.5","99.2","92.9","0.4","1.4","0.13"
"Tripp Gibson","30","4895","329","361","4566","4534","32","93.3","92.6","0.65","90.3","97.5","93.3","0.4","1.4","0.13"
"Vic Carapazza","30","4558","288","336.5","4270","4221.5","48.5","93.7","92.6","1.06","89.7","98.5","93.9","0.3","1.2","0.12"
"Will Little","29","4348","240","327.6","4108","4020.4","87.6","94.5","92.5","2.01","90.2","98.6","94.3","0.4","1.1","0.13"
