"Umpire","G","PC","IC","xIC","CC","xCC","CCAx","Acc","xAcc","AAx","minAcc","maxAcc","avgCon","avgFav","avgTRI","avgLev"
"Adam Hamari","30","4653","338","357.7","4315","4295.3","19.7","92.7","92.3","0.42","87.3","97.1","93.4","0.5","1.4","0.12"
"Adrian Johnson","30","4872","353","358.1","4519","4513.9","5.1","92.8","92.6","0.11","87.8","97.5","93.6","0.5","1.5","0.13"
"Alan Porter","30","4591","303","332.9","4288","4258.1","29.9","93.4","92.7","0.65","87.3","97.4","93.3","0.5","1.3","0.13"
"Alfonso Marquez","32","5029*","336*","358.3*","4693*","4670.7*","22.3*","93.3*","92.9*","0.44*","87.9*","97.8*","94*","0.5*","1.5*","0.14*"
"Andy Fletcher","30","4673","369","338.4","4304","4334.6","-30.6","92.1","92.8","-0.66","85.7","96.8","93.1","0.5","1.6","0.13"
"Angel Hernandez","30","4826","371","379.5","4455","4446.5","8.5","92.3","92.1","0.18","86.8","98.3","92.9","0.5","1.6","0.13"
"Ben May","27","4319","250","315.9","4069","4003.1","65.9","94.2","92.7","1.53","89.1","97.7","93.4","0.4","1.3","0.14"
"Bill Miller","30","4545","311","331.6","4234","4213.4","20.6","93.2","92.7","0.45","88.7","97.2","93.7","0.5","1.4","0.14"
"Bill Welke","31","4599","314","330.7","4285","4268.3","16.7","93.2","92.8","0.36","88.9","96.9","93.5","0.4","1.2","0.11"
"Brian Gorman","25","3960","319","308.8","3641","3651.2","-10.2","91.9","92.2","-0.26","84.6","94.5","92.7","0.4","1.7","0.13"
"Brian Knight","29","4560","384","335.6","4176","4224.4","-48.4","91.6","92.6","-1.06","86.5","95.3","92.8","0.5","1.8","0.14"
"Brian O'Nora","27","4360","376","318.5","3984","4041.5","-57.5","91.4","92.7","-1.32","86.1","94.8","93.5","0.4","1.8","0.13"
"Bruce Dreckman","32","4842","362","362.1","4480","4479.9","0.1","92.5","92.5","0","89.2","97.3","93.8","0.4","1.5","0.13"
"Carlos Torres","29","4516","281","322.6","4235","4193.4","41.6","93.8","92.9","0.92","89.6","97.6","94","0.4","1.2","0.13"
"CB Bucknor","29","4344","343","300.3","4001","4043.7","-42.7","92.1","93.1","-0.98","86.3","97.4","92.4","0.4","1.5","0.12"
"Chad Fairchild","30","4720","335","341.9","4385","4378.1","6.9","92.9","92.8","0.15","82.8","96.6","93.1","0.5","1.6","0.14"
"Chad Whitson","35","5313","373","384","4940","4929","11","93","92.8","0.21","88.2","96.6","93.4","0.5","1.3","0.13"
"Chris Conroy","29","4525","338","323.1","4187","4201.9","-14.9","92.5","92.9","-0.33","88","97","93.8","0.4","1.4","0.12"
"Chris Guccione","28","4495*","345*","361*","4150*","4134*","16*","92.3*","92*","0.36*","89.2*","97.2*","93.1*","0.4*","1.8*","0.14*"
"Chris Segal","33","4825","332","370.5","4493","4454.5","38.5","93.1","92.3","0.8","87.8","98.6","93.1","0.4","1.3","0.13"
"Cory Blaser","28","3955*","248*","284.8*","3707*","3670.2*","36.8*","93.7*","92.8*","0.93*","91*","97*","93.6*","0.2*","1.1*","0.12*"
"D.J. Reyburn","32","5287","380","388.6","4907","4898.4","8.6","92.8","92.7","0.16","86.5","97.8","93.2","0.5","1.5","0.13"
"Dan Bellino","28","4034","293","292.9","3741","3741.1","-0.1","92.7","92.7","0","83.1","96.1","92.7","0.5","1.3","0.13"
"Dan Iassogna","7","1117","90","81.4","1027","1035.6","-8.6","91.9","92.7","-0.77","89.1","94.6","92.7","0.3","1.3","0.1"
