"","Date","Umpire","Home","Away","R [H]","R [A]","PC","IC","xIC","CC","xCC","CCAx","Acc","xAcc","AAx","Con","Fav [H]","totRI"
"","2018-09-12","Gerry Davis","DET","HOU","4","5","147","10","10.9","137","136.1","0.9","93.2","92.6","0.6","95.2","-0.33","1.41"
"","2018-09-12","Paul Nauert","TB","CLE","3","1","135","9","6.9","126","128.1","-2.1","93.3","94.9","-1.6","92.6","0.25","0.89"
"","2018-09-12","Andy Fletcher","STL","PIT","3","4","135","12","11.5","123","123.5","-0.5","91.1","91.5","-0.4","96.3","0.22","1.82"
"","2018-09-12","John Tumpane","SF","ATL","1","2","155","10","11.6","145","143.4","1.6","93.5","92.5","1","91.6","-0.71","1.49"
"","2018-09-12","Adam Hamari","NYM","MIA","13","0","134","17","10","117","124","-7","87.3","92.5","-5.2","91","-0.16","1.94"
"","2018-09-12","Ed Hickox","SEA","SD","4","5","142","7","6.8","135","135.2","-0.2","95.1","95.2","-0.2","97.2","1.3","3.14"
"","2018-09-12","Bill Miller","BAL","OAK","0","10","148","6","8.8","142","139.2","2.8","95.9","94.1","1.9","96.6","0.45","0.59"
"","2018-09-12","Hunter Wendelstedt","PHI","WSH","1","5","150","23","13.9","127","136.1","-9.1","84.7","90.7","-6.1","82.7","0.24","2.18"
"","2018-09-12","D.J. Reyburn","BOS","TOR","1","0","129","7","7.3","122","121.7","0.3","94.6","94.3","0.3","92.2","-0.16","0.72"
"","2018-09-12","Cory Blaser","CHC","MIL","1","5","144","12","9.8","132","134.2","-2.2","91.7","93.2","-1.6","91.7","-0.14","1.08"
"","2018-09-12","Sean Barber","MIN","NYY","3","1","145","13","11.9","132","133.1","-1.1","91","91.8","-0.8","93.1","0.69","1.65"
"","2018-09-12","Ryan Additon","KC","CWS","2","4","209","13","14.3","196","194.7","1.3","93.8","93.1","0.6","93.8","0.88","2.22"
"","2018-09-12","Phil Cuzzi","COL","AZ","5","4","142","15","11.1","127","130.9","-3.9","89.4","92.2","-2.7","90.8","0.04","2.42"
"","2018-09-12","Adrian Johnson","LAA","TEX","8","1","135","8","9","127","126","1","94.1","93.3","0.8","92.6","-0.01","0.73"
"","2018-09-11","Bruce Dreckman","PHI","WSH","1","3","196","8","11.5","188","184.5","3.5","95.9","94.1","1.8","95.9","0.1","0.68"
"","2018-09-11","Mike Estabrook","PHI","WSH","6","7","209*","15*","14.1*","194*","194.9*","-0.9*","92.8*","93.3*","-0.5*","94.7*","0.59*","1.93*"
"","2018-09-11","Roberto Ortiz","DET","HOU","4","5","179","11","15.2","168","163.8","4.2","93.9","91.5","2.3","96.1","-0.82","1.6"
"","2018-09-11","Jansen Visconti","CIN","LAD","3","1","126","8","8.8","118","117.2","0.8","93.7","93","0.6","92.9","-0.02","0.62"
"","2018-09-11","Chad Whitson","BAL","OAK","2","3","147","8","10.8","139","136.2","2.8","94.6","92.6","1.9","95.9","0.41","1.09"
"","2018-09-11","Mark Carlson","TB","CLE","0","2","145","8","12","137","133","4","94.5","91.7","2.7","96.6","-0.49","0.97"
"","2018-09-11","Jim Wolf","BOS","TOR","7","2","171*","12*","9.4*","159*","161.6*","-2.6*","93*","94.5*","-1.5*","91.8*","0.46*","1.7*"
"","2018-09-11","Dan Bellino","NYM","MIA","3","5","156","16","12.9","140","143.1","-3.1","89.7","91.8","-2","87.2","-0.29","1.61"
"","2018-09-11","Eric Cooper","CHC","MIL","3","0","147","8","10.9","139","136.1","2.9","94.6","92.6","2","98","0.29","0.93"
"","2018-09-11","James Hoye","MIN","NYY","10","5","183","9","11.2","174","171.8","2.2","95.1","93.9","1.2","94.5","1.57","1.91"
"","2018-09-11","Jeff Nelson","STL","PIT","11","5","150","6","11.3","144","138.7","5.3","96","92.5","3.5","94.7","0.02","1.28"
"","2018-09-11","Tony Randazzo","KC","CWS","6","3","148*","13*","11.8*","135*","136.2*","-1.2*","91.2*","92*","-0.8*","91.2*","0.87*","2.01*"
"","2018-09-11","Fieldin Culbreth","COL","AZ","3","6","145","10","9.8","135","135.2","-0.2","93.1","93.3","-0.2","95.9","-0.29","0.97"
"","2018-09-11","Brian Gorman","LAA","TEX","1","0","136","12","8.4","124","127.6","-3.6","91.2","93.8","-2.6","91.2","0.59","0.95"
"","2018-09-11","Jerry Meals","SEA","SD","1","2","119","10","10.3","109","108.7","0.3","91.6","91.4","0.2","92.4","1","1.68"
"","2018-09-11","Jim Reynolds","SF","ATL","1","4","135","13","11.7","122","123.3","-1.3","90.4","91.3","-1","88.9","-0.18","1.52"
"","2018-09-10","Brian Knight","DET","HOU","2","3","116","11","10.9","105","105.1","-0.1","90.5","90.6","0","90.5","0.38","1.22"
"","2018-09-10","Larry Vanover","CIN","LAD","10","6","191","19","12.3","172","178.7","-6.7","90.1","93.5","-3.5","91.1","-1.77","2.83"
"","2018-09-10","Carlos Torres","TB","CLE","6","5","190","11","12.8","179","177.2","1.8","94.2","93.3","0.9","92.6","-0.07","1.35"
"","2018-09-10","Gary Cederstrom","CHC","MIL","2","3","165*","13*","9.2*","152*","155.8*","-3.8*","92.1*","94.4*","-2.3*","92.1*","-1.16*","1.56*"
"","2018-09-10","Marvin Hudson","MIN","NYY","2","7","216","16","18.8","200","197.2","2.8","92.6","91.3","1.3","92.1","0.71","2.13"
"","2018-09-10","Manny Gonzalez","STL","PIT","8","7","139","6","8.4","133","130.6","2.4","95.7","94","1.7","97.8","0.12","0.5"
"","2018-09-10","Bill Welke","KC","CWS","4","3","137","6","6.6","131","130.4","0.6","95.6","95.2","0.4","94.9","0.36","0.52"
"","2018-09-10","CB Bucknor","COL","AZ","13","2","121","8","7.4","113","113.6","-0.6","93.4","93.9","-0.5","92.6","0.36","1.26"
"","2018-09-10","Tripp Gibson","LAA","TEX","2","5","161","12","12.5","149","148.5","0.5","92.5","92.2","0.3","93.2","0.13","1.89"
