"Umpire","G","PC","IC","xIC","CC","xCC","CCAx","Acc","xAcc","AAx","minAcc","maxAcc","avgCon","avgFav","avgTRI","avgLev"
"Adam Hamari","28","4651","321","324.1","4330","4326.9","3.1","93.1","93","0.07","86.5","97.8","93.4","0.5","1.4","0.13"
"Adrian Johnson","31","4826","428","350.6","4398","4475.4","-77.4","91.1","92.7","-1.6","84.1","95.7","92.3","0.4","1.6","0.12"
"Alan Porter","30","4705*","298*","323.8*","4407*","4381.2*","25.8*","93.7*","93.1*","0.55*","88.5*","98.8*","93.5*","0.5*","1.4*","0.13*"
"Alex Tosi","6","963","62","77","901","886","15","93.6","92","1.55","91","96.7","92.8","0.7","1.5","0.14"
"Alfonso Marquez","32","5332","369","375","4963","4957","6","93.1","93","0.11","87.5","96.6","93.2","0.5","1.5","0.13"
"Andy Fletcher","21","3155","250","226.6","2905","2928.4","-23.4","92.1","92.8","-0.74","85.6","96.4","92","0.4","1.5","0.12"
"Angel Hernandez","30","4712","363","322.5","4349","4389.5","-40.5","92.3","93.2","-0.86","88.3","96.6","92.4","0.5","1.7","0.14"
"Ben May","21","3175","184","221.5","2991","2953.5","37.5","94.2","93","1.18","90","98.4","93.2","0.5","1.2","0.13"
"Bill Miller","30","4384*","322*","306.4*","4062*","4077.6*","-15.6*","92.7*","93*","-0.36*","87.6*","97.9*","93.3*","0.3*","1.4*","0.12*"
"Bill Welke","27","4207","305","302.3","3902","3904.7","-2.7","92.8","92.8","-0.06","85.5","98.2","93.1","0.5","1.6","0.14"
"Brennan Miller","9","1454","88","102.1","1366","1351.9","14.1","93.9","93","0.97","88.2","96.6","93.7","0.4","1.3","0.13"
"Brian Gorman","12","1835","136","120.8","1699","1714.2","-15.2","92.6","93.4","-0.83","90.4","97","92.7","0.5","1.5","0.13"
"Brian Knight","20","3201","252","233.7","2949","2967.3","-18.3","92.1","92.7","-0.57","85.8","96.9","92.7","0.5","1.7","0.14"
"Brian O'Nora","30","4738","374","325.1","4364","4412.9","-48.9","92.1","93.1","-1.03","87.7","96.4","92.8","0.5","1.6","0.13"
"Bruce Dreckman","30","4500","284","289","4216","4211","5","93.7","93.6","0.11","89.6","97.4","94.2","0.5","1.4","0.15"
"Carlos Torres","30","4524*","320*","307*","4204*","4217*","-13*","92.9*","93.2*","-0.29*","87.7*","96.6*","93.6*","0.5*","1.5*","0.13*"
"CB Bucknor","29","4681","398","339.2","4283","4341.8","-58.8","91.5","92.8","-1.26","84.7","96.4","92.8","0.5","1.9","0.14"
"Chad Fairchild","29","4418","273","298.8","4145","4119.2","25.8","93.8","93.2","0.58","87.3","98.2","93.7","0.3","1.2","0.13"
"Chad Whitson","30","4433","312","313.6","4121","4119.4","1.6","93","92.9","0.04","87.7","96.4","93.1","0.5","1.3","0.12"
"Chris Conroy","29","4564","271","313.1","4293","4250.9","42.1","94.1","93.1","0.92","89.8","99.3","93.7","0.5","1.3","0.14"
"Chris Guccione","30","4642","303","333.1","4339","4308.9","30.1","93.5","92.8","0.65","87.8","98.4","93.1","0.5","1.3","0.13"
"Chris Segal","29","4639","288","311.6","4351","4327.4","23.6","93.8","93.3","0.51","88.9","97.8","93.6","0.3","1.2","0.12"
"Cory Blaser","28","4280","281","296","3999","3984","15","93.4","93.1","0.35","89.4","99.4","94","0.5","1.4","0.14"
"D.J. Reyburn","28","4465","295","312.9","4170","4152.1","17.9","93.4","93","0.4","88.7","96.5","93.7","0.4","1.4","0.14"
