"Umpire","G","PC","IC","xIC","CC","xCC","CCAx","Acc","xAcc","AAx","minAcc","maxAcc","avgCon","avgFav","avgTRI","avgLev"
"Dan Bellino","33","5169","363","383.6","4806","4785.4","20.6","93","92.6","0.4","88.6","97.1","93.6","0.5","1.4","0.13"
"Dan Iassogna","32","5337*","405*","381.5*","4932*","4955.5*","-23.5*","92.4*","92.9*","-0.44*","88.1*","97.5*","92.4*","0.5*","1.7*","0.13*"
"Dana DeMuth","17","2646","205","187.6","2441","2458.4","-17.4","92.3","92.9","-0.66","89.1","96.1","92.9","0.5","1.6","0.13"
"David Rackley","31","5159","362","378","4797","4781","16","93","92.7","0.31","87.4","98.3","93.6","0.5","1.7","0.14"
"Doug Eddings","31","4658*","326*","323*","4332*","4335*","-3*","93*","93.1*","-0.07*","89.2*","97.9*","93.6*","0.3*","1.4*","0.13*"
"Ed Hickox","27","4214*","364*","284.4*","3850*","3929.6*","-79.6*","91.4*","93.3*","-1.89*","87.4*","97.3*","92.8*","0.3*","1.7*","0.12*"
"Eric Cooper","30","4782","305","347.8","4477","4434.2","42.8","93.6","92.7","0.9","90.2","96.5","93.7","0.5","1.4","0.14"
"Fieldin Culbreth","27","4194","327","314.7","3867","3879.3","-12.3","92.2","92.5","-0.29","86.8","97.9","92.4","0.6","1.6","0.13"
"Gabe Morales","29","4405","337","311","4068","4094","-26","92.3","92.9","-0.59","84.7","95.8","93.1","0.5","1.4","0.12"
"Gary Cederstrom","30","4600","367","319.7","4233","4280.3","-47.3","92","93","-1.03","87.8","97.4","93.1","0.4","1.4","0.12"
"Gerry Davis","27","4357","351","323","4006","4034","-28","91.9","92.6","-0.64","85.1","96","92.1","0.5","1.6","0.12"
"Greg Gibson","19","3095","249","218.8","2846","2876.2","-30.2","92","92.9","-0.98","88.1","96.6","93.2","0.6","1.8","0.14"
"Hunter Wendelstedt","28","4538","319","325.1","4219","4212.9","6.1","93","92.8","0.13","85.1","96.4","92.8","0.5","1.4","0.13"
"James Hoye","28","4355","313","309","4042","4046","-4","92.8","92.9","-0.09","88","96.3","93","0.5","1.5","0.14"
"Jansen Visconti","35","5425*","263*","355.7*","5162*","5069.3*","92.7*","95.2*","93.4*","1.71*","91.6*","98.6*","94.2*","0.4*","1.1*","0.14*"
"Jeff Kellogg","13","2088","147","142.7","1941","1945.3","-4.3","93","93.2","-0.21","88.9","97.8","92.8","0.6","1.6","0.14"
"Jeff Nelson","31","4753","330","327.9","4423","4425.1","-2.1","93.1","93.1","-0.04","89.8","96.8","93.2","0.4","1.4","0.14"
"Jeremie Rehak","31","4983","273","352.2","4710","4630.8","79.2","94.5","92.9","1.59","89.8","97.8","93.5","0.5","1.1","0.12"
"Jerry Layne","5","929","63","67.9","866","861.1","4.9","93.2","92.7","0.53","91.4","94.5","91.2","0.6","1.9","0.15"
"Jerry Meals","28","4455","363","299.6","4092","4155.4","-63.4","91.9","93.3","-1.42","85.6","95","92.6","0.5","1.8","0.14"
"Jim Reynolds","22","3422","238","236.5","3184","3185.5","-1.5","93","93.1","-0.04","89.3","98.5","93","0.4","1.4","0.13"
"Jim Wolf","32","5087","318","348.2","4769","4738.8","30.2","93.7","93.2","0.59","88.4","97.6","93.4","0.3","1.2","0.12"
"Joe West","30","4806","390","337.9","4416","4468.1","-52.1","91.9","93","-1.08","87.8","96.9","92.8","0.4","1.7","0.13"
"John Bacon","6","952","56","67.6","896","884.4","11.6","94.1","92.9","1.22","91.9","96.1","92.9","0.3","1.1","0.12"
"John Libka","26","4128","216","280.9","3912","3847.1","64.9","94.8","93.2","1.57","89.6","97","93.5","0.5","1.2","0.14"
"John Tumpane","29","4283*","265*","300.6*","4018*","3982.4*","35.6*","93.8*","93*","0.83*","90.3*","97.8*","93.6*","0.4*","1.2*","0.12*"
"Jordan Baker","28","4477","285","308.6","4192","4168.4","23.6","93.6","93.1","0.53","86.7","96.8","93.8","0.5","1.4","0.14"
"Kerwin Danley","25","3892","336","270.3","3556","3621.7","-65.7","91.4","93.1","-1.69","86.9","96.3","92","0.4","1.9","0.14"
"Lance Barksdale","29","4323*","264*","284.1*","4059*","4038.9*","20.1*","93.9*","93.4*","0.47*","89.1*","97.2*","94.3*","0.4*","1.2*","0.12*"
"Lance Barrett","31","4854","312","331","4542","4523","19","93.6","93.2","0.39","88.5","97.3","93.8","0.5","1.2","0.12"
"Larry Vanover","28","4542","310","288.6","4232","4253.4","-21.4","93.2","93.6","-0.47","89","98.1","93.8","0.4","1.3","0.12"
"Laz Diaz","29","4339*","390*","312.8*","3949*","4026.2*","-77.2*","91*","92.8*","-1.78*","86*","96.2*","92.1*","0.5*","1.9*","0.13*"
"Manny Gonzalez","30","4502*","305*","310.8*","4197*","4191.2*","5.8*","93.2*","93.1*","0.13*","89.4*","98*","93.2*","0.5*","1.5*","0.14*"
"Mark Carlson","25","4095","331","289.1","3764","3805.9","-41.9","91.9","92.9","-1.02","87.8","94.8","92.7","0.5","1.7","0.13"
"Mark Ripperger","29","4592","271","314.5","4321","4277.5","43.5","94.1","93.2","0.95","87.5","98.1","93.7","0.4","1.2","0.13"
"Mark Wegner","30","4680","277","334.3","4403","4345.7","57.3","94.1","92.9","1.23","89.3","98.2","93.6","0.5","1.3","0.14"
"Marty Foster","20","2995","239","213.5","2756","2781.5","-25.5","92","92.9","-0.85","85.8","95.7","92.7","0.5","1.5","0.13"
"Marvin Hudson","29","4754","349","332.3","4405","4421.7","-16.7","92.7","93","-0.35","85.6","96.6","93.2","0.4","1.5","0.13"
"Mike Estabrook","32","5058","370","341.1","4688","4716.9","-28.9","92.7","93.3","-0.57","84.5","97.5","92.8","0.5","1.5","0.13"
"Mike Everitt","28","4488","311","309.2","4177","4178.8","-1.8","93.1","93.1","-0.04","89","98","93.3","0.4","1.4","0.12"
"Mike Muchlinski","29","4562","317","299.7","4245","4262.3","-17.3","93.1","93.4","-0.38","88.5","96.2","93","0.6","1.6","0.15"
"Mike Winters","17","2714","228","189.8","2486","2524.2","-38.2","91.6","93","-1.41","85.5","94.8","92.3","0.8","2","0.15"
"Nic Lentz","29","4728","319","339.2","4409","4388.8","20.2","93.3","92.8","0.43","89.7","97.1","93.3","0.5","1.5","0.14"
"Nick Mahrley","13","2048","137","137.1","1911","1910.9","0.1","93.3","93.3","0.01","90.1","96.3","93","0.4","1.2","0.11"
"Pat Hoberg","28","4424","234","300","4190","4124","66","94.7","93.2","1.49","92.3","97.6","94.1","0.5","1.1","0.13"
"Paul Emmel","22","3423","233","240.7","3190","3182.3","7.7","93.2","93","0.22","88.3","97.5","93.8","0.5","1.5","0.14"
"Paul Nauert","30","4588","370","305.1","4218","4282.9","-64.9","91.9","93.4","-1.42","85","97.4","93","0.4","1.6","0.13"
"Phil Cuzzi","30","4613","310","341.7","4303","4271.3","31.7","93.3","92.6","0.69","90.1","96","93","0.5","1.4","0.14"
"Quinn Wolcott","26","3952","272","272","3680","3680","0","93.1","93.1","0","88.2","96.7","93.2","0.6","1.5","0.14"
"Ramon De Jesus","28","4487","260","311.4","4227","4175.6","51.4","94.2","93.1","1.15","90.2","97.9","93.5","0.4","1.1","0.12"
"Rob Drake","29","4515","346","314.4","4169","4200.6","-31.6","92.3","93","-0.7","86.4","97.9","93.1","0.5","1.6","0.13"
"Roberto Ortiz","25","4026","274","281.8","3752","3744.2","7.8","93.2","93","0.19","88.4","97.2","93.3","0.5","1.5","0.14"
"Ron Kulpa","30","4545","357","328.5","4188","4216.5","-28.5","92.1","92.8","-0.63","86.3","96.5","92.9","0.5","1.6","0.14"
"Ryan Additon","14","2381","159","167.1","2222","2213.9","8.1","93.3","93","0.34","90.4","96.1","94.1","0.6","1.6","0.14"
"Ryan Blakney","30","4647","334","337.9","4313","4309.1","3.9","92.8","92.7","0.08","89.3","96.7","92.8","0.5","1.5","0.14"
"Sam Holbrook","31","4718*","362*","311.7*","4356*","4406.3*","-50.3*","92.3*","93.4*","-1.07*","87.1*","97.2*","93*","0.4*","1.3*","0.11*"
"Scott Barry","8","1270","91","87.7","1179","1182.3","-3.3","92.8","93.1","-0.26","90.6","95.8","92","0.4","1.5","0.14"
"Sean Barber","29","4627","282","311.9","4345","4315.1","29.9","93.9","93.3","0.65","89.9","96.8","93.5","0.4","1.2","0.12"
"Shane Livensparger","5","758","40","52","718","706","12","94.7","93.1","1.59","92.9","96.2","95.2","0.6","1","0.13"
"Stu Scheurwater","29","4529*","303*","310.3*","4226*","4218.7*","7.3*","93.3*","93.1*","0.16*","90.1*","96.9*","93.5*","0.7*","1.6*","0.14*"
"Ted Barrett","29","4458*","376*","311*","4082*","4147*","-65*","91.6*","93*","-1.46*","84.6*","96.2*","91.8*","0.5*","1.9*","0.14*"
"Tim Timmons","30","4754","334","308.8","4420","4445.2","-25.2","93","93.5","-0.53","89.3","97.1","93.3","0.5","1.5","0.13"
"Todd Tichenor","30","4499","288","313.3","4211","4185.7","25.3","93.6","93","0.56","88.8","96.9","93.4","0.5","1.3","0.13"
"Tom Hallion","25","4061","338","307.9","3723","3753.1","-30.1","91.7","92.4","-0.74","88.2","97.9","92.4","0.4","1.7","0.13"
"Tom Woodring","15","2350","152","165.2","2198","2184.8","13.2","93.5","93","0.56","87.7","97.2","93.9","0.5","1.4","0.14"
"Tony Randazzo","21","3391","219","229.7","3172","3161.3","10.7","93.5","93.2","0.32","89","96.5","94.4","0.4","1.3","0.13"
"Tripp Gibson","31","5055","301","347.8","4754","4707.2","46.8","94","93.1","0.93","89.9","96.9","93.1","0.5","1.4","0.14"
"Vic Carapazza","25","4091","270","279.2","3821","3811.8","9.2","93.4","93.2","0.23","89.4","96","93.5","0.6","1.5","0.14"
"Will Little","28","4466","223","301.4","4243","4164.6","78.4","95","93.3","1.76","91.1","97.6","94.2","0.4","1","0.13"
