"Umpire","G","PC","IC","xIC","CC","xCC","CCAx","Acc","xAcc","AAx","minAcc","maxAcc","avgCon","avgFav","avgTRI","avgLev"
"Gary Cederstrom","31","5032","481","463.7","4551","4568.3","-17.3","90.4","90.8","-0.34","82.6","96.3","92.7","0.5","2.3","0.15"
"Gerry Davis","30","4824","481","456.8","4343","4367.2","-24.2","90","90.5","-0.5","82.7","95.5","92.1","0.8","2.2","0.14"
"Greg Gibson","28","4516","385","388.7","4131","4127.3","3.7","91.5","91.4","0.08","85.6","96.8","93.2","0.4","1.8","0.13"
"Hunter Wendelstedt","27","3989","378","369.7","3611","3619.3","-8.3","90.5","90.7","-0.21","81.8","96","91.9","0.6","1.8","0.13"
"James Hoye","23","3751","345","349.3","3406","3401.7","4.3","90.8","90.7","0.12","83","94.9","93.2","0.5","1.8","0.12"
"Jeff Kellogg","29","4619","411","418","4208","4201","7","91.1","90.9","0.15","86.8","95.3","93.7","0.5","1.9","0.13"
"Jeff Nelson","29","4523","431","405.4","4092","4117.6","-25.6","90.5","91","-0.57","84.9","95.7","93.4","0.5","1.9","0.13"
"Jerry Layne","28","4272","432","399.5","3840","3872.5","-32.5","89.9","90.6","-0.76","85.2","93.3","92","0.7","2","0.13"
"Jerry Meals","30","4686","445","433.2","4241","4252.8","-11.8","90.5","90.8","-0.25","83.4","94.9","93.3","0.5","1.8","0.12"
"Jim Joyce","26","3856","351","346.4","3505","3509.6","-4.6","90.9","91","-0.12","85.4","97.2","93.6","0.4","1.6","0.12"
"Jim Reynolds","28","4363","355","407.6","4008","3955.4","52.6","91.9","90.7","1.21","89.4","95.9","93.4","0.6","1.8","0.14"
"Jim Wolf","30","4762","417","449.9","4345","4312.1","32.9","91.2","90.6","0.69","85.1","97.1","93","0.6","1.7","0.12"
"Joe West","32","5146","531","473.1","4615","4672.9","-57.9","89.7","90.8","-1.12","85.8","95.3","92.9","0.6","2.2","0.13"
"John Hirschbeck","23","3672","397","342.9","3275","3329.1","-54.1","89.2","90.7","-1.47","82.6","92.5","91.7","0.7","2.2","0.13"
"John Tumpane","31","4796","371","422.3","4425","4373.7","51.3","92.3","91.2","1.07","83.1","97","93.6","0.4","1.6","0.14"
"Jordan Baker","32","5004","493","470.5","4511","4533.5","-22.5","90.1","90.6","-0.45","83","93.6","92.2","0.7","2","0.13"
"Kerwin Danley","30","4528","482","405.6","4046","4122.4","-76.4","89.4","91","-1.69","82","95","91.7","0.5","2.1","0.13"
"Lance Barksdale","30","4561","359","410.2","4202","4150.8","51.2","92.1","91","1.12","87.5","96","93.2","0.4","1.5","0.12"
"Lance Barrett","30","4407","430","405","3977","4002","-25","90.2","90.8","-0.57","86.1","95.4","91.7","0.6","1.8","0.12"
"Larry Vanover","32","4903","475","446.6","4428","4456.4","-28.4","90.3","90.9","-0.58","84.5","95.6","92.7","0.5","2.1","0.14"
"Laz Diaz","30","4645","435","423.9","4210","4221.1","-11.1","90.6","90.9","-0.24","85.5","95.5","92.9","0.5","1.8","0.12"
"Manny Gonzalez","30","4765","364","437.3","4401","4327.7","73.3","92.4","90.8","1.54","87","95.5","93.8","0.5","1.5","0.13"
"Mark Carlson","31","4866","425","435.8","4441","4430.2","10.8","91.3","91","0.22","84.9","96.9","93","0.5","1.9","0.14"
"Mark Ripperger","31","4681","348","426","4333","4255","78","92.6","90.9","1.67","86.4","97.2","94.2","0.4","1.5","0.14"
"Mark Wegner","30","4829","390","439","4439","4390","49","91.9","90.9","1.01","85.2","96.8","93","0.5","1.7","0.13"
"Marty Foster","27","4053","390","364.2","3663","3688.8","-25.8","90.4","91","-0.64","86.1","95","92.1","0.5","1.8","0.13"
"Marvin Hudson","30","4884","443","445.7","4441","4438.3","2.7","90.9","90.9","0.06","84.1","95.5","92.9","0.5","1.9","0.13"
"Mike DiMuro","14","2253","224","201.6","2029","2051.4","-22.4","90.1","91.1","-0.99","87.2","93.8","92.9","0.4","2.1","0.13"
"Mike Estabrook","28","4470","398","401.4","4072","4068.6","3.4","91.1","91","0.08","85.6","95.5","92.3","0.5","1.8","0.13"
"Mike Everitt","33","4913","396","446.3","4517","4466.7","50.3","91.9","90.9","1.02","86.4","95.8","93.4","0.5","1.5","0.12"
"Mike Muchlinski","29","4344","353","383.5","3991","3960.5","30.5","91.9","91.2","0.7","86.7","95","92.4","0.4","1.5","0.13"
"Mike Winters","27","4412","455","418.7","3957","3993.3","-36.3","89.7","90.5","-0.82","85.3","94.2","92.1","0.7","2.2","0.13"
"Nic Lentz","23","3514","331","325.3","3183","3188.7","-5.7","90.6","90.7","-0.16","86.4","95.3","93.1","0.5","1.9","0.13"
"Pat Hoberg","34","5297","408","476.2","4889","4820.8","68.2","92.3","91","1.29","87.5","95.7","93.7","0.5","1.6","0.13"
"Paul Emmel","29","4429","449","401.9","3980","4027.1","-47.1","89.9","90.9","-1.06","82.6","95.6","93","0.6","2.1","0.13"
"Paul Nauert","30","4495","477","422.5","4018","4072.5","-54.5","89.4","90.6","-1.21","81.7","95.9","92.3","0.9","2.2","0.14"
"Phil Cuzzi","21","3197","253","288.7","2944","2908.3","35.7","92.1","91","1.12","85.1","96.1","92.9","0.6","1.5","0.13"
"Quinn Wolcott","30","4625","375","423","4250","4202","48","91.9","90.9","1.04","86.8","97.6","93","0.5","1.7","0.14"
"Ramon De Jesus","24","3788","357","370.1","3431","3417.9","13.1","90.6","90.2","0.35","83.7","96.5","91.8","0.5","2.1","0.14"
"Rob Drake","25","3746","424","357.4","3322","3388.6","-66.6","88.7","90.5","-1.78","83.5","93.8","91.6","0.6","2","0.12"
"Roberto Ortiz","2","309","37","30.5","272","278.5","-6.5","88","90.1","-2.11","86.5","89.5","91.9","0","2.3","0.12"
"Ron Kulpa","30","4663","467","422.6","4196","4240.4","-44.4","90","90.9","-0.95","85.1","95.7","93","0.8","2.2","0.14"
"Ryan Blakney","36","5713","452","517.9","5261","5195.1","65.9","92.1","90.9","1.15","87","97.5","93.2","0.4","1.6","0.13"
"Sam Holbrook","29","4569","418","429.1","4151","4139.9","11.1","90.9","90.6","0.24","84.9","95.3","92.5","0.5","1.9","0.13"
"Scott Barry","24","3672","356","333.9","3316","3338.1","-22.1","90.3","90.9","-0.6","85","94.7","92.1","0.8","2","0.13"
"Sean Barber","17","2772","248","251","2524","2521","3","91.1","90.9","0.11","80.9","96.6","92.6","0.5","1.9","0.13"
"Stu Scheurwater","12","1939","161","175.7","1778","1763.3","14.7","91.7","90.9","0.76","87.5","95.6","92.8","0.4","1.7","0.12"
"Ted Barrett","31","4863","478","441.7","4385","4421.3","-36.3","90.2","90.9","-0.75","83.8","95.9","92.5","0.6","1.9","0.12"
"Tim Timmons","31","4847","463","446.9","4384","4400.1","-16.1","90.4","90.8","-0.33","82.9","96","92.2","0.4","1.9","0.13"
"Toby Basner","21","3421","293","320.1","3128","3100.9","27.1","91.4","90.6","0.79","85.9","96.2","92.8","0.5","1.7","0.12"
"Todd Tichenor","27","4137","360","387.7","3777","3749.3","27.7","91.3","90.6","0.67","85.9","94.3","92","0.4","1.6","0.12"
"Tom Hallion","30","4764","558","460.5","4206","4303.5","-97.5","88.3","90.3","-2.05","81.6","93.7","92","0.9","2.4","0.13"
"Tom Woodring","7","1088","91","88.8","997","999.2","-2.2","91.6","91.8","-0.2","88.1","94.7","93.5","0.7","1.7","0.13"
"Tony Randazzo","29","4663","396","425.6","4267","4237.4","29.6","91.5","90.9","0.64","86","97.3","93.4","0.6","2.1","0.15"
"Tripp Gibson","28","4253","327","400.9","3926","3852.1","73.9","92.3","90.6","1.74","86.7","96.3","92.5","0.4","1.5","0.13"
"Vic Carapazza","30","4673","377","410.7","4296","4262.3","33.7","91.9","91.2","0.72","87.7","96.1","93.7","0.6","1.7","0.13"
"Will Little","29","4354","281","402.2","4073","3951.8","121.2","93.5","90.8","2.78","86.9","98","93.7","0.5","1.3","0.14"
