"Umpire","G","PC","IC","xIC","CC","xCC","CCAx","Acc","xAcc","AAx","minAcc","maxAcc","avgCon","avgFav","avgTRI","avgLev"
"Adam Hamari","32","4877","349","440.4","4528","4436.6","91.4","92.8","91","1.87","88.2","96.7","93.5","0.4","1.4","0.13"
"Adrian Johnson","28","4444","446","412.5","3998","4031.5","-33.5","90","90.7","-0.75","82.8","95.4","92.2","0.6","2","0.13"
"Alan Porter","28","4180","333","370.6","3847","3809.4","37.6","92","91.1","0.9","87.5","96.3","93.9","0.4","1.5","0.12"
"Alfonso Marquez","31","4779","440","444.7","4339","4334.3","4.7","90.8","90.7","0.1","84.3","95.8","93","0.5","1.9","0.13"
"Andy Fletcher","31","4885","484","439.1","4401","4445.9","-44.9","90.1","91","-0.92","84.8","95.3","92.3","0.6","1.9","0.12"
"Angel Hernandez","30","4321","415","394.8","3906","3926.2","-20.2","90.4","90.9","-0.47","84.4","96.6","92.6","0.4","1.6","0.12"
"Ben May","16","2414","200","226.1","2214","2187.9","26.1","91.7","90.6","1.08","87","97.1","92.8","0.6","1.6","0.13"
"Bill Miller","32","4862","453","443.3","4409","4418.7","-9.7","90.7","90.9","-0.2","84.6","97.1","92.8","0.5","1.9","0.13"
"Bill Welke","27","4331","382","400","3949","3931","18","91.2","90.8","0.42","87.5","96.4","92.5","0.4","1.7","0.12"
"Bob Davidson","28","4273","436","377.8","3837","3895.2","-58.2","89.8","91.2","-1.36","84.9","95.4","93","0.5","2","0.13"
"Brian Gorman","19","2939","274","260.7","2665","2678.3","-13.3","90.7","91.1","-0.45","86.7","94.1","93.3","0.7","2","0.14"
"Brian Knight","29","4497","439","416.9","4058","4080.1","-22.1","90.2","90.7","-0.49","83.2","94.7","93","0.5","2","0.13"
"Brian O'Nora","18","2756","273","255.1","2483","2500.9","-17.9","90.1","90.7","-0.65","85.9","94.8","92.8","0.5","2","0.13"
"Carlos Torres","35","5374","506","490.6","4868","4883.4","-15.4","90.6","90.9","-0.29","84.4","96.2","92.9","0.5","1.9","0.13"
"CB Bucknor","28","4040","327","365.9","3713","3674.1","38.9","91.9","90.9","0.96","86.8","95.3","93.2","0.4","1.5","0.13"
"Chad Fairchild","30","4775","362","432","4413","4343","70","92.4","91","1.47","88","95.7","93.4","0.4","1.5","0.12"
"Chad Whitson","12","1821","156","163.5","1665","1657.5","7.5","91.4","91","0.41","88.2","94.6","91.5","0.5","1.8","0.14"
"Chris Conroy","31","4703","401","433.4","4302","4269.6","32.4","91.5","90.8","0.69","87.1","98.7","92.9","0.5","1.7","0.13"
"Chris Guccione","28","4368","370","399.5","3998","3968.5","29.5","91.5","90.9","0.67","85.6","96","92.8","0.5","1.7","0.12"
"Chris Segal","6","926","81","76.4","845","849.6","-4.6","91.3","91.8","-0.5","85.8","93.7","92.9","0.6","1.7","0.12"
"Clint Fagan","28","4526","425","400.8","4101","4125.2","-24.2","90.6","91.1","-0.53","84.4","96","92.8","0.6","2.1","0.14"
"Cory Blaser","29","4022","371","372","3651","3650","1","90.8","90.8","0.02","85.6","94.6","92.7","0.6","1.6","0.12"
"D.J. Reyburn","28","4196","360","392.9","3836","3803.1","32.9","91.4","90.6","0.78","88.1","94.6","93.1","0.4","1.5","0.12"
"Dale Scott","26","4348","456","405.9","3892","3942.1","-50.1","89.5","90.7","-1.15","83.2","94.4","91.7","0.5","2.2","0.13"
"Dan Bellino","28","4277","336","398.4","3941","3878.6","62.4","92.1","90.7","1.46","88.3","98.4","92.9","0.4","1.6","0.13"
"Dan Iassogna","31","4969","482","440.3","4487","4528.7","-41.7","90.3","91.1","-0.84","84","95.3","92.9","0.6","2.2","0.14"
"Dana DeMuth","23","3513","355","339.3","3158","3173.7","-15.7","89.9","90.3","-0.45","81.9","96.4","92.3","0.5","1.9","0.13"
"David Rackley","30","4827","436","441.1","4391","4385.9","5.1","91","90.9","0.11","85.4","94.9","92.6","0.6","1.9","0.13"
"Doug Eddings","24","3644","340","332.2","3304","3311.8","-7.8","90.7","90.9","-0.21","84.4","94.5","92.3","0.7","1.8","0.13"
"Ed Hickox","16","2448","230","212.1","2218","2235.9","-17.9","90.6","91.3","-0.73","86.2","95.5","92.2","0.5","1.8","0.13"
"Eric Cooper","25","3752","309","331.3","3443","3420.7","22.3","91.8","91.2","0.6","85.4","96.7","92.6","0.4","1.6","0.13"
"Fieldin Culbreth","29","4396","407","406.2","3989","3989.8","-0.8","90.7","90.8","-0.02","85.3","95.5","92.4","0.6","1.8","0.13"
"Gabe Morales","29","4378","366","375.8","4012","4002.2","9.8","91.6","91.4","0.22","87.9","95.7","94","0.5","1.6","0.13"
