"","Date","Umpire","Home","Away","R [H]","R [A]","PC","IC","xIC","CC","xCC","CCAx","Acc","xAcc","AAx","Con","Fav [H]","totRI"
"","2016-10-01","Alfonso Marquez","STL","PIT","4","3","139","10","12.2","129","126.8","2.2","92.8","91.2","1.6","92.8","0.4","1.02"
"","2016-10-01","Will Little","PHI","NYM","3","5","145","9","14.1","136","130.9","5.1","93.8","90.3","3.5","94.5","-0.65","1.29"
"","2016-10-01","Kerwin Danley","SF","LAD","3","0","109","11","10.4","98","98.6","-0.6","89.9","90.5","-0.5","89.9","0.26","1.46"
"","2016-10-01","Jeff Kellogg","WSH","MIA","2","1","148","7","11.9","141","136.1","4.9","95.3","92","3.3","93.9","-0.14","0.46"
"","2016-10-01","Manny Gonzalez","NYY","BAL","7","3","162","17","15.7","145","146.3","-1.3","89.5","90.3","-0.8","91.4","-0.47","2.01"
"","2016-10-01","Tom Hallion","CIN","CHC","7","4","181","20","15.9","161","165.1","-4.1","89","91.2","-2.3","90.6","-0.35","2.43"
"","2016-10-01","Mike Estabrook","KC","CLE","3","6","201","19","14.3","182","186.7","-4.7","90.5","92.9","-2.4","88.6","-0.8","3.12"
"","2016-10-01","Quinn Wolcott","BOS","TOR","3","4","184","10","16.2","174","167.8","6.2","94.6","91.2","3.4","95.1","0.56","1.22"
"","2016-10-01","Vic Carapazza","ATL","DET","5","3","134","6","8","128","126","2","95.5","94","1.5","94.8","-0.73","1.01"
"","2016-10-01","Pat Hoberg","CWS","MIN","0","6","150","12","13.6","138","136.4","1.6","92","90.9","1.1","92","-1.12","1.88"
"","2016-10-01","Mark Wegner","TEX","TB","1","4","128","19","11.3","109","116.7","-7.7","85.2","91.2","-6","88.3","0.08","1.62"
"","2016-10-01","Paul Nauert","AZ","SD","9","5","143","17","15.1","126","127.9","-1.9","88.1","89.5","-1.3","93","1.1","1.74"
"","2016-10-01","Roberto Ortiz","COL","MIL","3","4","156","21","15.3","135","140.7","-5.7","86.5","90.2","-3.7","89.1","-0.05","2.27"
"","2016-10-01","Lance Barrett","LAA","HOU","0","3","138","12","9.4","126","128.6","-2.6","91.3","93.2","-1.9","92","0.19","1.23"
"","2016-10-01","Marvin Hudson","SEA","OAK","8","9","179","17","17.9","162","161.1","0.9","90.5","90","0.5","92.2","0.28","1.94"
"","2016-09-30","Ted Barrett","PHI","NYM","1","5","160","18","14.8","142","145.2","-3.2","88.8","90.7","-2","93.1","0.2","1.76"
"","2016-09-30","Brian O'Nora","WSH","MIA","4","7","156","20","17.3","136","138.7","-2.7","87.2","88.9","-1.7","92.3","0.2","2"
"","2016-09-30","Jim Reynolds","NYY","BAL","1","8","198","21","17.8","177","180.2","-3.2","89.4","91","-1.6","92.9","-1.42","3.48"
"","2016-09-30","Gabe Morales","CIN","CHC","3","7","163","11","11.8","152","151.2","0.8","93.3","92.7","0.5","92","0","1.04"
"","2016-09-30","Mark Carlson","BOS","TOR","5","3","160","13","15","147","145","2","91.9","90.6","1.2","93.8","-1.36","2.08"
"","2016-09-30","D.J. Reyburn","ATL","DET","2","6","158","12","13.9","146","144.1","1.9","92.4","91.2","1.2","93.7","-0.17","1.03"
"","2016-09-30","Mike Muchlinski","TEX","TB","3","1","129","11","9.1","118","119.9","-1.9","91.5","92.9","-1.5","92.2","0.05","1.19"
"","2016-09-30","Tripp Gibson","CWS","MIN","7","3","163","13","15.9","150","147.1","2.9","92","90.2","1.8","91.4","-0.77","1.81"
"","2016-09-30","Tony Randazzo","COL","MIL","4","1","123","5","9.5","118","113.5","4.5","95.9","92.3","3.7","95.1","0.55","1.93"
"","2016-09-30","Greg Gibson","KC","CLE","2","7","144","11","11","133","133","0","92.4","92.4","0","90.3","-0.24","1.12"
"","2016-09-30","Larry Vanover","STL","PIT","7","0","133","16","11.8","117","121.2","-4.2","88","91.2","-3.2","91.7","0.19","1.95"
"","2016-09-30","Jerry Meals","AZ","SD","5","3","138","7","12.1","131","125.9","5.1","94.9","91.2","3.7","91.3","-0.47","0.85"
"","2016-09-30","Dan Iassogna","LAA","HOU","7","1","146","11","11.1","135","134.9","0.1","92.5","92.4","0.1","94.5","0.26","1.1"
"","2016-09-30","James Hoye","SEA","OAK","5","1","138","7","11.8","131","126.2","4.8","94.9","91.5","3.5","96.4","0.56","1.02"
"","2016-09-30","Andy Fletcher","SF","LAD","9","3","157","12","10","145","147","-2","92.4","93.6","-1.3","96.2","-0.55","1.65"
"","2016-09-29","Fieldin Culbreth","WSH","AZ","5","3","152","10","16.1","142","135.9","6.1","93.4","89.4","4","92.1","-0.48","1.5"
"","2016-09-29","Brian Gorman","PIT","CHC","1","1","68","4","5","64","63","1","94.1","92.7","1.4","97.1","0.22","0.34"
"","2016-09-29","Alan Porter","NYY","BOS","5","1","168","18","13.5","150","154.5","-4.5","89.3","92","-2.7","92.9","0.42","2.4"
"","2016-09-29","Angel Hernandez","TOR","BAL","0","4","146","14","12.1","132","133.9","-1.9","90.4","91.7","-1.3","92.5","-0.01","2.37"
"","2016-09-29","Phil Cuzzi","ATL","PHI","5","2","164","14","14.2","150","149.8","0.2","91.5","91.4","0.1","90.2","-1.59","2.33"
"","2016-09-29","Bill Miller","STL","CIN","4","3","154","18","14.6","136","139.4","-3.4","88.3","90.5","-2.2","89","-0.04","2.56"
"","2016-09-29","Mike Winters","KC","MIN","6","7","154","9","12.8","145","141.2","3.8","94.2","91.7","2.5","94.2","-1.24","1.48"
"","2016-09-29","Ed Hickox","CWS","TB","3","5","161","13","11.1","148","149.9","-1.9","91.9","93.1","-1.2","92.5","0.36","2.14"
"","2016-09-29","Dale Scott","SD","LAD","4","9","165","18","14.8","147","150.2","-3.2","89.1","91","-1.9","89.7","1.26","2.42"
"","2016-09-29","Chad Fairchild","SEA","OAK","3","2","138","6","11.4","132","126.6","5.4","95.7","91.8","3.9","93.5","-0.36","0.94"
"","2016-09-29","Ron Kulpa","SF","COL","7","2","136","17","10.2","119","125.8","-6.8","87.5","92.5","-5","89.7","1.4","1.88"
"","2016-09-28","Jim Wolf","HOU","SEA","4","12","162","13","18.2","149","143.8","5.2","92","88.8","3.2","93.2","-0.03","2.17"
"","2016-09-28","CB Bucknor","WSH","AZ","0","3","98","7","8","91","90","1","92.9","91.8","1","99","-0.05","2.03"
"","2016-09-28","Chris Guccione","PIT","CHC","8","4","166","11","15.2","155","150.8","4.2","93.4","90.8","2.6","94.6","0.48","1.12"
"","2016-09-28","John Tumpane","NYY","BOS","5","3","164","13","14.2","151","149.8","1.2","92.1","91.4","0.7","92.7","1.32","1.82"
"","2016-09-28","Lance Barksdale","TOR","BAL","2","3","165","12","13","153","152","1","92.7","92.1","0.6","93.3","0.92","1.78"
"","2016-09-28","Hunter Wendelstedt","DET","CLE","6","3","118","6","9.2","112","108.8","3.2","94.9","92.2","2.7","96.6","0.12","0.96"
"","2016-09-28","Stu Scheurwater","ATL","PHI","12","2","137","10","11.5","127","125.5","1.5","92.7","91.6","1.1","91.2","0.43","1.11"
"","2016-09-28","Bill Welke","MIA","NYM","2","5","166","8","12.4","158","153.6","4.4","95.2","92.6","2.6","93.4","-0.05","0.67"
"","2016-09-28","Ramon De Jesus","KC","MIN","5","2","157*","14*","13.9*","143*","143.1*","-0.1*","91.1*","91.2*","-0.1*","89.8*","-0.42*","1.28*"
"","2016-09-28","Jim Joyce","TEX","MIL","8","5","134","10","10.7","124","123.3","0.7","92.5","92","0.6","91","0.64","1.3"
"","2016-09-28","Ben May","CWS","TB","1","0","105*","7*","8.8*","98*","96.2*","1.8*","93.3*","91.6*","1.7*","96.2*","0.11*","0.55*"
"","2016-09-28","Scott Barry","STL","CIN","1","2","155","18","14.5","137","140.5","-3.5","88.4","90.6","-2.3","94.2","1.3","2.46"
"","2016-09-28","Tom Woodring","LAA","OAK","8","6","172","12","15","160","157","3","93","91.3","1.7","96.5","1.39","2.05"
"","2016-09-28","Bob Davidson","SD","LAD","6","5","137","12","10","125","127","-2","91.2","92.7","-1.5","91.2","-0.26","1.88"
"","2016-09-28","Mark Wegner","SF","COL","0","2","140","8","11.7","132","128.3","3.7","94.3","91.7","2.6","95.7","0.22","0.68"
"","2016-09-27","Adam Hamari","WSH","AZ","4","2","125","5","8.9","120","116.1","3.9","96","92.9","3.1","92","0.47","0.79"
"","2016-09-27","Quinn Wolcott","PIT","CHC","4","6","225*","13*","23*","212*","202*","10*","94.2*","89.8*","4.5*","94.2*","0.64*","2.64*"
"","2016-09-27","Jeff Kellogg","NYY","BOS","6","4","129","17","12.4","112","116.6","-4.6","86.8","90.4","-3.6","90.7","-0.15","1.65"
"","2016-09-27","Will Little","TOR","BAL","5","1","149","3","12.3","146","136.7","9.3","98","91.7","6.2","95.3","-0.14","0.5"
"","2016-09-27","Dan Bellino","DET","CLE","12","0","159","13","14.2","146","144.8","1.2","91.8","91.1","0.8","91.2","0.75","2.11"
"","2016-09-27","Tom Hallion","ATL","PHI","7","6","153","21","13.1","132","139.9","-7.9","86.3","91.4","-5.1","91.5","1.97","3.09"
"","2016-09-27","D.J. Reyburn","MIA","NYM","1","12","156*","12*","14.4*","144*","141.6*","2.4*","92.3*","90.8*","1.5*","92.3*","-0.17*","1.29*"
"","2016-09-27","Mike Muchlinski","KC","MIN","4","3","199","24","18.9","175","180.1","-5.1","87.9","90.5","-2.5","88.4","1.27","3.85"
"","2016-09-27","Marvin Hudson","TEX","MIL","6","4","163","17","13.9","146","149.1","-3.1","89.6","91.4","-1.9","93.9","0.52","2"
"","2016-09-27","Eric Cooper","HOU","SEA","8","4","135","6","9.5","129","125.5","3.5","95.6","92.9","2.6","95.6","-0.14","0.6"
"","2016-09-27","Mike Estabrook","CWS","TB","13","6","157","16","13.6","141","143.4","-2.4","89.8","91.3","-1.5","89.8","0.37","1.33"
"","2016-09-27","Brian Knight","STL","CIN","12","5","172","15","16.1","157","155.9","1.1","91.3","90.6","0.6","94.8","0.04","1.72"
"","2016-09-27","Ryan Blakney","LAA","OAK","8","1","133","12","13.8","121","119.2","1.8","91","89.7","1.3","94.7","-0.14","1.46"
"","2016-09-27","Lance Barrett","SD","LAD","7","1","156","13","14.1","143","141.9","1.1","91.7","90.9","0.7","93.6","-1.01","1.33"
"","2016-09-27","Paul Nauert","SF","COL","12","3","141","11","11","130","130","0","92.2","92.2","0","92.9","0.14","1.04"
"","2016-09-26","Manny Gonzalez","WSH","AZ","4","14","174","15","17.8","159","156.2","2.8","91.4","89.8","1.6","93.7","0.04","1.88"
"","2016-09-26","Mark Carlson","PIT","CHC","2","12","230","16","20.4","214","209.6","4.4","93","91.1","1.9","96.5","-1.03","2.23"
"","2016-09-26","Todd Tichenor","TOR","NYY","5","7","175","10","20.5","165","154.5","10.5","94.3","88.3","6","92.6","0.2","1"
"","2016-09-26","Tripp Gibson","DET","CLE","4","7","167","16","17","151","150","1","90.4","89.8","0.6","88","-0.42","2.22"
"","2016-09-26","John Hirschbeck","MIA","NYM","7","3","181","19","12.9","162","168.1","-6.1","89.5","92.9","-3.4","91.7","-0.5","3.3"
"","2016-09-26","James Hoye","TEX","MIL","3","8","127","17","12.8","110","114.2","-4.2","86.6","89.9","-3.3","96.9","-0.14","1.58"
"","2016-09-26","Gary Cederstrom","HOU","SEA","3","4","180","16","17.9","164","162.1","1.9","91.1","90.1","1.1","92.2","0.71","3.21"
"","2016-09-26","Greg Gibson","CWS","TB","7","1","154","11","11.6","143","142.4","0.6","92.9","92.5","0.4","94.8","0.23","1.41"
"","2016-09-26","Tony Randazzo","STL","CIN","2","15","137*","10*","10.6*","127*","126.4*","0.6*","92.7*","92.3*","0.4*","95.6*","0.55*","0.95*"
"","2016-09-26","Alfonso Marquez","LAA","OAK","2","1","125","13","10.2","112","114.8","-2.8","89.6","91.9","-2.3","92.8","-0.13","1.43"
"","2016-09-25","Phil Cuzzi","TOR","NYY","4","3","158","21","16.3","137","141.7","-4.7","86.7","89.7","-3","92.4","0.97","3.59"
"","2016-09-25","Dan Iassogna","DET","KC","9","12","180*","15*","14.8*","165*","165.2*","-0.2*","91.7*","91.8*","-0.1*","91.7*","1.44*","2.62*"
