"","Date","Umpire","Home","Away","R [H]","R [A]","PC","IC","xIC","CC","xCC","CCAx","Acc","xAcc","AAx","Con","Fav [H]","totRI"
"","2021-10-01","Jeff Nelson","PIT","CIN","9","2","149","11","6.9","138","142.1","-4.1","92.6","95.3","-2.7","91.9","-1.03","1.47"
"","2021-10-01","James Hoye","WSH","BOS","2","4","173","11","9.2","162","163.8","-1.8","93.6","94.7","-1","94.8","-0.41","0.95"
"","2021-10-01","Stu Scheurwater","NYY","TB","3","4","143","11","12.7","132","130.3","1.7","92.3","91.1","1.2","91.6","0.14","1.06"
"","2021-10-01","Alan Porter","TOR","BAL","6","4","122","7","10.8","115","111.2","3.8","94.3","91.2","3.1","91","0.08","0.74"
"","2021-10-01","Carlos Torres","MIA","PHI","0","5","126","11","10.1","115","115.9","-0.9","91.3","92","-0.7","92.1","0.75","1.97"
"","2021-10-01","Bill Miller","ATL","NYM","3","4","123","5","6.6","118","116.4","1.6","95.9","94.7","1.3","95.1","0.16","0.86"
"","2021-10-01","Tony Randazzo","TEX","CLE","6","9","161","11","9.3","150","151.7","-1.7","93.2","94.2","-1.1","94.4","-0.04","1.16"
"","2021-10-01","Sam Holbrook","HOU","OAK","6","8","171","9","11","162","160","2","94.7","93.6","1.2","94.7","0.04","1.28"
"","2021-10-01","Dan Bellino","KC","MIN","11","6","162","8","10","154","152","2","95.1","93.8","1.2","96.9","0.3","1.04"
"","2021-10-01","Hunter Wendelstedt","CWS","DET","8","1","143","13","9","130","134","-4","90.9","93.7","-2.8","93","-1.33","2.89"
"","2021-10-01","Greg Gibson","STL","CHC","4","3","160","11","8.7","149","151.3","-2.3","93.1","94.6","-1.4","92.5","0.55","1.47"
"","2021-10-01","John Tumpane","AZ","COL","7","9","168","17","14.2","151","153.8","-2.8","89.9","91.6","-1.7","91.7","-0.96","2.42"
"","2021-10-01","Joe West","SF","SD","3","0","138","11","7.6","127","130.4","-3.4","92","94.5","-2.4","95.7","-0.38","1.28"
"","2021-10-01","Jeremie Rehak","SEA","LAA","1","2","147","7","10.2","140","136.8","3.2","95.2","93","2.2","93.2","0.71","2.25"
"","2021-10-01","Chad Fairchild","LAD","MIL","8","6","157","8","9.8","149","147.2","1.8","94.9","93.8","1.1","95.5","0.1","0.68"
"","2021-09-30","Gerry Davis","STL","MIL","4","3","137","10","9.3","127","127.7","-0.7","92.7","93.2","-0.5","94.2","-0.62","1.5"
"","2021-09-30","John Bacon","TEX","LAA","7","6","184","12","10.9","172","173.1","-1.1","93.5","94.1","-0.6","93.5","0.14","1.76"
"","2021-09-30","Roberto Ortiz","PIT","CHC","0","9","137","7","7.5","130","129.5","0.5","94.9","94.5","0.4","94.9","-0.35","1.25"
"","2021-09-30","Manny Gonzalez","BAL","BOS","6","2","145","9","12","136","133","3","93.8","91.8","2","93.8","-1.28","1.88"
"","2021-09-30","Marvin Hudson","TOR","NYY","2","6","164","14","11.6","150","152.4","-2.4","91.5","92.9","-1.5","90.2","0.21","2.01"
"","2021-09-30","Will Little","HOU","TB","3","2","146","10","10.2","136","135.8","0.2","93.2","93","0.2","89.7","-0.64","1.46"
"","2021-09-30","Nick Mahrley","NYM","MIA","12","3","156","10","8.9","146","147.1","-1.1","93.6","94.3","-0.7","97.4","0.17","0.81"
"","2021-09-30","D.J. Reyburn","ATL","PHI","5","3","131","7","11.7","124","119.3","4.7","94.7","91.1","3.6","93.9","-0.55","0.89"
"","2021-09-30","Chad Whitson","MIN","DET","7","10","166","10","11.4","156","154.6","1.4","94","93.1","0.8","91.6","0.43","1.13"
"","2021-09-30","Angel Hernandez","KC","CLE","1","6","140","8","8.4","132","131.6","0.4","94.3","94","0.3","93.6","0.94","1.78"
"","2021-09-30","Ramon De Jesus","SF","AZ","5","4","166","9","11","157","155","2","94.6","93.3","1.2","91","0.44","1.66"
"","2021-09-30","Jeremy Riggs","LAD","SD","8","3","130","9","10.3","121","119.7","1.3","93.1","92.1","1","92.3","0.12","0.64"
"","2021-09-29","Quinn Wolcott","COL","WSH","10","5","211","8","16.4","203","194.6","8.4","96.2","92.2","4","95.7","0.54","1.44"
"","2021-09-29","Mark Wegner","PIT","CHC","2","3","171","15","11.3","156","159.7","-3.7","91.2","93.4","-2.2","94.7","-0.94","1.62"
"","2021-09-29","John Libka","BAL","BOS","0","6","152*","6*","9*","146*","143*","3*","96.1*","94.1*","1.9*","96.7*","-0.15*","0.45*"
"","2021-09-29","Gabe Morales","TOR","NYY","6","5","131","11","8.2","120","122.8","-2.8","91.6","93.8","-2.2","95.4","0.4","1.06"
"","2021-09-29","Larry Vanover","NYM","MIA","2","3","103","11","6.8","92","96.2","-4.2","89.3","93.4","-4.1","92.2","0.7","1.02"
"","2021-09-29","Fieldin Culbreth","ATL","PHI","7","2","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
"","2021-09-29","Nestor Ceja","MIN","DET","5","2","134","5","8.1","129","125.9","3.1","96.3","93.9","2.3","97.8","0.27","0.69"
"","2021-09-29","Nic Lentz","STL","MIL","0","4","169","5","9.9","164","159.1","4.9","97","94.2","2.9","93.5","0.22","0.46"
"","2021-09-29","Mike Muchlinski","TEX","LAA","2","7","148","14","10.1","134","137.9","-3.9","90.5","93.2","-2.6","93.2","0.12","2.56"
"","2021-09-29","Lance Barksdale","KC","CLE","10","5","151","9","9.4","142","141.6","0.4","94","93.7","0.3","94.7","0.5","2.12"
"","2021-09-29","Rob Drake","HOU","TB","0","7","124","7","7.6","117","116.4","0.6","94.4","93.8","0.5","94.4","-0.3","0.64"
"","2021-09-29","Tim Timmons","CWS","CIN","6","1","137","4","8.8","133","128.2","4.8","97.1","93.6","3.5","94.2","0.23","0.29"
"","2021-09-29","Dan Iassogna","SF","AZ","1","0","128","9","8.8","119","119.2","-0.2","93","93.1","-0.2","93","-0.49","1.19"
"","2021-09-29","Tripp Gibson","LAD","SD","11","9","152","12","7.4","140","144.6","-4.6","92.1","95.1","-3","94.1","-0.14","1.4"
"","2021-09-29","CB Bucknor","SEA","OAK","4","2","142","11","9.5","131","132.5","-1.5","92.3","93.3","-1.1","88.7","0.28","1.34"
"","2021-09-28","David Rackley","NYM","MIA","5","2","115","6","7.1","109","107.9","1.1","94.8","93.8","0.9","93","0.39","0.55"
"","2021-09-28","Sean Barber","NYM","MIA","2","1","115","10","10.1","105","104.9","0.1","91.3","91.2","0.1","94.8","0.15","0.81"
"","2021-09-28","Chris Guccione","PIT","CHC","8","6","145","5","10.7","140","134.3","5.7","96.6","92.6","4","93.1","-0.68","0.68"
"","2021-09-28","Mike Estabrook","BAL","BOS","4","2","128","7","6.2","121","121.8","-0.8","94.5","95.2","-0.6","94.5","-0.24","0.72"
"","2021-09-28","Brian Knight","TOR","NYY","2","7","169","12","11.5","157","157.5","-0.5","92.9","93.2","-0.3","92.9","0.68","1.82"
"","2021-09-28","Dan Bellino","ATL","PHI","2","1","131","6","7.3","125","123.7","1.3","95.4","94.4","1","95.4","-0.3","0.68"
"","2021-09-28","Todd Tichenor","MIN","DET","3","2","146","10","9.6","136","136.4","-0.4","93.2","93.4","-0.3","91.8","-0.26","0.86"
"","2021-09-28","Bruce Dreckman","STL","MIL","6","2","135","15","9.9","120","125.1","-5.1","88.9","92.7","-3.8","92.6","-0.12","1.5"
"","2021-09-28","Sam Holbrook","TEX","LAA","5","2","148","11","8.1","137","139.9","-2.9","92.6","94.5","-2","91.9","-0.1","0.98"
"","2021-09-28","Ryan Additon","KC","CLE","6","4","150","8","7.7","142","142.3","-0.3","94.7","94.9","-0.2","94.7","-0.37","0.67"
"","2021-09-28","Ryan Wills","HOU","TB","4","3","146","9","9.7","137","136.3","0.7","93.8","93.3","0.5","90.4","0.31","1.23"
"","2021-09-28","Alfonso Marquez","CWS","CIN","7","1","127","4","7.6","123","119.4","3.6","96.9","94.1","2.8","96.9","0.26","0.26"
"","2021-09-28","Ben May","COL","WSH","3","1","130","8","9.2","122","120.8","1.2","93.8","92.9","0.9","91.5","0.01","0.79"
"","2021-09-28","Scott Barry","SF","AZ","6","4","167","15","13.5","152","153.5","-1.5","91","91.9","-0.9","94.6","-0.58","3.8"
"","2021-09-28","John Tumpane","LAD","SD","2","1","158","10","10.4","148","147.6","0.4","93.7","93.4","0.3","93","-0.41","0.99"
"","2021-09-28","Adam Hamari","SEA","OAK","4","2","134","1","4.9","133","129.1","3.9","99.3","96.4","2.9","97.8","0.07","0.07"
"","2021-09-27","Nick Mahrley","CLE","KC","8","3","142","9","10.3","133","131.7","1.3","93.7","92.7","0.9","95.8","-0.09","1.29"
"","2021-09-27","Stu Scheurwater","CIN","PIT","13","1","178","15","13.3","163","164.7","-1.7","91.6","92.5","-0.9","92.7","-0.03","2.01"
"","2021-09-27","Lance Barrett","DET","CWS","7","8","192","14","10.6","178","181.4","-3.4","92.7","94.5","-1.8","93.8","-0.35","2.15"
"","2021-09-27","Malachi Moore","COL","WSH","4","5","162","13","8.4","149","153.6","-4.6","92","94.8","-2.8","90.7","-0.58","1.6"
"","2021-09-27","Ted Barrett","SEA","OAK","13","4","142","8","8.1","134","133.9","0.1","94.4","94.3","0.1","95.1","0.15","0.71"
"","2021-09-26","Erich Bacchus","DET","KC","1","2","162","13","13.2","149","148.8","0.2","92","91.8","0.1","92","-0.15","2.41"
"","2021-09-26","Charlie Ramos","BAL","TEX","4","7","174","14","10.6","160","163.4","-3.4","92","93.9","-1.9","93.1","-0.86","2.28"
"","2021-09-26","Chris Segal","PHI","PIT","0","6","181","10","10.4","171","170.6","0.4","94.5","94.2","0.2","93.4","-0.83","1.13"
"","2021-09-26","Angel Hernandez","CIN","WSH","9","2","203","12","12.9","191","190.1","0.9","94.1","93.6","0.5","92.6","1.3","2.52"
"","2021-09-26","Marvin Hudson","CLE","CWS","2","5","148","10","10.1","138","137.9","0.1","93.2","93.2","0.1","93.2","0.22","0.98"
"","2021-09-26","Jeff Nelson","TB","MIA","3","2","130","3","8.8","127","121.2","5.8","97.7","93.2","4.5","97.7","-0.13","0.27"
"","2021-09-26","Jeremie Rehak","MIN","TOR","2","5","128","6","7.7","122","120.3","1.7","95.3","94","1.3","97.7","-0.32","0.7"
"","2021-09-26","Cory Blaser","MIL","NYM","8","4","162","5","8.1","157","153.9","3.1","96.9","95","1.9","94.4","-0.19","0.49"
"","2021-09-26","Bill Miller","CHC","STL","2","4","166","6","9.2","160","156.8","3.2","96.4","94.5","1.9","97.6","0.12","0.48"
"","2021-09-26","Shane Livensparger","COL","SF","2","6","142","10","12.1","132","129.9","2.1","93","91.5","1.5","95.1","-0.08","0.76"
"","2021-09-26","Jerry Meals","OAK","HOU","4","3","176","13","12.7","163","163.3","-0.3","92.6","92.8","-0.2","94.3","0.62","1.64"
"","2021-09-26","Ramon De Jesus","LAA","SEA","1","5","154","6","10.3","148","143.7","4.3","96.1","93.3","2.8","91.6","-0.07","0.53"
"","2021-09-26","Gerry Davis","AZ","LAD","0","3","138","9","7.3","129","130.7","-1.7","93.5","94.7","-1.2","97.1","0.42","1.14"
"","2021-09-26","Greg Gibson","SD","ATL","3","4","181","16","18.5","165","162.5","2.5","91.2","89.8","1.4","93.9","-0.63","3.21"
