"","Date","Umpire","Home","Away","R [H]","R [A]","PC","IC","xIC","CC","xCC","CCAx","Acc","xAcc","AAx","Con","Fav [H]","totRI"
"","2019-10-01","Mike Everitt","WSH","MIL","4","3","134","8","6.4","126","127.6","-1.6","94","95.2","-1.2","88.8","-0.25","0.71"
"","2019-09-29","Mark Ripperger","BOS","BAL","5","4","148","4","7.9","144","140.1","3.9","97.3","94.7","2.6","95.3","-0.18","0.64"
"","2019-09-29","Cory Blaser","WSH","CLE","8","2","142","8","11.8","134","130.2","3.8","94.4","91.7","2.7","95.1","0.43","0.79"
"","2019-09-29","Jansen Visconti","PIT","CIN","1","3","128","6","9.3","122","118.7","3.3","95.3","92.8","2.6","93.8","0.58","0.8"
"","2019-09-29","Manny Gonzalez","SF","LAD","0","9","175*","10*","14.3*","165*","160.7*","4.3*","94.3*","91.8*","2.5*","93.1*","-0.19*","1.55*"
"","2019-09-29","Bill Miller","PHI","MIA","3","4","149","8","10.8","141","138.2","2.8","94.6","92.7","1.9","95.3","0.51","0.95"
"","2019-09-29","Jordan Baker","TEX","NYY","6","1","121","10","9.5","111","111.5","-0.5","91.7","92.2","-0.5","92.6","-0.24","0.84"
"","2019-09-29","Alfonso Marquez","LAA","HOU","5","8","171","12","12.3","159","158.7","0.3","93","92.8","0.2","88.9","1.1","1.32"
"","2019-09-29","Jeff Nelson","TOR","TB","8","3","153","9","9.1","144","143.9","0.1","94.1","94.1","0","94.8","0.05","0.95"
"","2019-09-29","Mike Muchlinski","AZ","SD","1","0","119","9","8.3","110","110.7","-0.7","92.4","93","-0.6","94.1","-0.2","1.14"
"","2019-09-29","Marvin Hudson","SEA","OAK","3","1","167*","8*","11.2*","159*","155.8*","3.2*","95.2*","93.3*","1.9*","97*","-0.97*","1.13*"
"","2019-09-29","Alan Porter","NYM","ATL","7","6","158","6","10.8","152","147.2","4.8","96.2","93.2","3","94.9","-0.14","0.48"
"","2019-09-29","Gabe Morales","CWS","DET","5","3","126","9","7.3","117","118.7","-1.7","92.9","94.2","-1.3","92.1","0.22","0.78"
"","2019-09-29","Tripp Gibson","COL","MIL","4","3","207","14","14.4","193","192.6","0.4","93.2","93","0.2","96.1","0.01","2.13"
"","2019-09-29","Doug Eddings","STL","CHC","9","0","138","3","9.4","135","128.6","6.4","97.8","93.2","4.7","95.7","0.19","0.27"
"","2019-09-29","John Libka","KC","MIN","5","4","127*","8*","8.6*","119*","118.4*","0.6*","93.7*","93.2*","0.5*","95.3*","-0.18*","1.56*"
"","2019-09-28","Brian O'Nora","BOS","BAL","4","9","198","15","10.8","183","187.2","-4.2","92.4","94.5","-2.1","93.9","-0.3","2.02"
"","2019-09-28","Paul Nauert","KC","MIN","3","4","163*","22*","12.1*","141*","150.9*","-9.9*","86.5*","92.6*","-6.1*","89*","0.67*","2.95*"
