"","Date","Umpire","Home","Away","R [H]","R [A]","PC","IC","xIC","CC","xCC","CCAx","Acc","xAcc","AAx","Con","Fav [H]","totRI"
"","2015-10-01","Rob Drake","BAL","TOR","6","4","185","18","14.4","167","170.6","-3.6","90.3","92.2","-1.9","93","-0.5","2.48"
"","2015-10-01","Hunter Wendelstedt","PHI","NYM","3","0","125","10","10.9","115","114.1","0.9","92","91.2","0.8","93.6","-0.08","1.06"
"","2015-10-01","Bill Miller","CIN","CHC","3","5","151*","16*","13.5*","135*","137.5*","-2.5*","89.4*","91.1*","-1.7*","94*","0.42*","2.62*"
"","2015-10-01","Ed Hickox","SF","LAD","2","3","132","18","15.1","114","116.9","-2.9","86.4","88.6","-2.2","90.9","0.11","2.05"
"","2015-10-01","Carlos Torres","SD","MIL","3","1","164*","22*","16.9*","142*","147.1*","-5.1*","86.6*","89.7*","-3.1*","90.9*","0.78*","3.86*"
"","2015-10-01","Todd Tichenor","NYY","BOS","4","1","178","18","13.3","160","164.7","-4.7","89.9","92.5","-2.7","89.9","0.71","2.07"
"","2015-10-01","Brian O'Nora","CLE","MIN","2","4","164","16","11.6","148","152.4","-4.4","90.2","92.9","-2.7","91.5","-0.13","1.73"
"","2015-10-01","Sam Holbrook","ATL","WSH","0","3","156","15","14.8","141","141.2","-0.2","90.4","90.5","-0.1","91.7","1.18","1.36"
"","2015-10-01","Ben May","TB","MIA","4","1","113","7","9.3","106","103.7","2.3","93.8","91.8","2","92.9","0.3","0.84"
"","2015-10-01","Quinn Wolcott","TEX","LAA","5","3","170","12","17","158","153","5","92.9","90","2.9","94.1","1.49","3.15"
"","2015-10-01","Chris Conroy","CWS","KC","4","6","175","7","12.3","168","162.7","5.3","96","93","3","96.6","0.43","0.75"
"","2015-10-01","Dale Scott","AZ","COL","8","6","132","12","9.5","120","122.5","-2.5","90.9","92.8","-1.9","94.7","-0.37","1.01"
"","2015-09-30","Eric Cooper","PIT","STL","8","2","133","11","11.8","122","121.2","0.8","91.7","91.2","0.6","95.5","-0.38","1.1"
"","2015-09-30","Gary Cederstrom","PIT","STL","1","11","152","21","17.2","131","134.8","-3.8","86.2","88.7","-2.5","87.5","0.92","2.58"
"","2015-09-30","Kerwin Danley","BAL","TOR","2","15","192","19","19.8","173","172.2","0.8","90.1","89.7","0.4","92.7","-0.87","2.01"
"","2015-09-30","D.J. Reyburn","BAL","TOR","8","1","116","11","11.4","105","104.6","0.4","90.5","90.2","0.4","91.4","1.06","1.38"
"","2015-09-30","Alan Porter","CLE","MIN","1","7","162","13","12.5","149","149.5","-0.5","92","92.3","-0.3","96.3","0.5","1.54"
"","2015-09-30","Jeff Kellogg","CLE","MIN","10","2","141","9","11.2","132","129.8","2.2","93.6","92.1","1.6","96.5","-0.46","0.84"
"","2015-09-30","Chris Guccione","LAA","OAK","7","8","200","15","20.6","185","179.4","5.6","92.5","89.7","2.8","93.5","-0.47","1.41"
"","2015-09-30","Bob Davidson","PHI","NYM","7","5","188","17","17.9","171","170.1","0.9","91","90.5","0.5","92.6","-0.48","2.2"
"","2015-09-30","Tim Welke","NYY","BOS","5","9","238","16","18.9","222","219.1","2.9","93.3","92.1","1.2","94.1","-0.07","1.45"
"","2015-09-30","Adrian Johnson","CIN","CHC","3","10","163","19","16.5","144","146.5","-2.5","88.3","89.9","-1.6","90.2","-0.69","2.93"
"","2015-09-30","Mark Wegner","ATL","WSH","2","0","120","4","10.8","116","109.2","6.8","96.7","91","5.7","97.5","-0.19","0.51"
"","2015-09-30","Gerry Davis","TB","MIA","6","4","169","20","11.7","149","157.3","-8.3","88.2","93.1","-4.9","89.9","-0.32","1.6"
"","2015-09-30","Tom Hallion","TEX","DET","6","2","152","19","11.3","133","140.7","-7.7","87.5","92.6","-5.1","93.4","0.73","1.83"
"","2015-09-30","Angel Hernandez","CWS","KC","3","5","159","10","11.5","149","147.5","1.5","93.7","92.8","1","93.7","-0.3","1.04"
