"Umpire","G","PC","IC","xIC","CC","xCC","CCAx","Acc","xAcc","AAx","minAcc","maxAcc","avgCon","avgFav","avgTRI","avgLev"
"Paul Clemons","8","1244","74","75.7","1170","1168.3","1.7","94.1","93.9","0.13","91.7","97.1","94","0.3","1.1","0.12"
"Phil Cuzzi","27","4059","265","266.9","3794","3792.1","1.9","93.5","93.4","0.05","88.1","97.4","92.7","0.5","1.4","0.15"
"Quinn Wolcott","25","3603","211","244.5","3392","3358.5","33.5","94.1","93.2","0.93","89.6","97.7","93.7","0.3","1.1","0.12"
"Ramon De Jesus","28","4245","274","279","3971","3966","5","93.5","93.4","0.12","90.6","97.4","93.5","0.5","1.3","0.13"
"Rob Drake","27","3916","316","250.2","3600","3665.8","-65.8","91.9","93.6","-1.68","86.5","96.3","93.7","0.5","1.5","0.13"
"Roberto Ortiz","32","4568","310","297.3","4258","4270.7","-12.7","93.2","93.5","-0.28","88.7","99.2","92.4","0.5","1.3","0.13"
"Ron Kulpa","26","3964","325","273.6","3639","3690.4","-51.4","91.8","93.1","-1.3","84.8","97.3","93","0.4","1.7","0.13"
"Ryan Additon","33","5089","315","316.2","4774","4772.8","1.2","93.8","93.8","0.02","88.4","96.9","94.6","0.4","1.2","0.13"
"Ryan Blakney","31","4707","249","307.2","4458","4399.8","58.2","94.7","93.5","1.24","90.8","98.4","92.9","0.4","1.1","0.14"
"Ryan Wills","21","3303","192","221.8","3111","3081.2","29.8","94.2","93.3","0.9","87.4","97.1","93.5","0.3","1.2","0.13"
"Sam Holbrook","30","4417","307","289.2","4110","4127.8","-17.8","93","93.5","-0.4","89.4","96.9","93.4","0.3","1.3","0.12"
"Scott Barry","28","4272","301","297.4","3971","3974.6","-3.6","93","93","-0.08","89.4","95.6","93.2","0.4","1.5","0.14"
"Sean Barber","30","4664","318","298.3","4346","4365.7","-19.7","93.2","93.6","-0.42","88.2","97.7","93.5","0.4","1.6","0.15"
"Shane Livensparger","20","3154","187","214.2","2967","2939.8","27.2","94.1","93.2","0.86","91.3","98.7","94.3","0.3","1.1","0.12"
"Stu Scheurwater","28","4162","281","294.1","3881","3867.9","13.1","93.2","92.9","0.31","90.5","95.9","93","0.5","1.3","0.13"
"Ted Barrett","28","4363","315","278.3","4048","4084.7","-36.7","92.8","93.6","-0.84","87.4","97.2","92.8","0.4","1.5","0.13"
"Tim Timmons","30","4789","334","303.9","4455","4485.1","-30.1","93","93.7","-0.63","88.6","97.1","93.5","0.4","1.5","0.14"
"Todd Tichenor","28","4293","250","281.1","4043","4011.9","31.1","94.2","93.5","0.72","90.1","99.1","92.9","0.3","1.2","0.13"
"Tom Hallion","24","3760","277","251.6","3483","3508.4","-25.4","92.6","93.3","-0.68","85.6","95","93.3","0.4","1.6","0.14"
"Tony Randazzo","25","4045","260","258.4","3785","3786.6","-1.6","93.6","93.6","-0.04","87.7","97.7","93.9","0.5","1.5","0.14"
"Tripp Gibson","30","4235","206","266.1","4029","3968.9","60.1","95.1","93.7","1.42","91.5","99.1","94","0.3","0.9","0.13"
"Vic Carapazza","30","4715","287","307.7","4428","4407.3","20.7","93.9","93.5","0.44","89.2","98.6","93.6","0.5","1.3","0.14"
"Will Little","27","4199","222","280.5","3977","3918.5","58.5","94.7","93.3","1.39","92.1","97.4","93.7","0.4","1","0.12"
