"Umpire","G","PC","IC","xIC","CC","xCC","CCAx","Acc","xAcc","AAx","minAcc","maxAcc","avgCon","avgFav","avgTRI","avgLev"
"Adam Beck","25","3832","218","263.8","3614","3568.2","45.8","94.3","93.1","1.19","89.8","97.4","94","0.5","1.1","0.13"
"Adam Hamari","29","4320","271","291.5","4049","4028.5","20.5","93.7","93.3","0.47","86.5","99.3","92.9","0.4","1.1","0.12"
"Adrian Johnson","24","3711","294","261","3417","3450","-33","92.1","93","-0.89","87.5","96.7","93.3","0.3","1.6","0.13"
"Alan Porter","29","4317","213","287.6","4104","4029.4","74.6","95.1","93.3","1.73","90.4","98.6","94.2","0.4","0.9","0.12"
"Alex Tosi","9","1351","65","89","1286","1262","24","95.2","93.4","1.78","90","97.1","94.7","0.4","0.9","0.13"
"Alfonso Marquez","28","4207","276","296.6","3931","3910.4","20.6","93.4","93","0.49","88.7","98.5","93","0.5","1.4","0.14"
"Andy Fletcher","21","3096","229","199.7","2867","2896.3","-29.3","92.6","93.5","-0.95","87.7","98.2","93","0.5","1.3","0.12"
"Angel Hernandez","29","4569","335","296.8","4234","4272.2","-38.2","92.7","93.5","-0.84","86.3","97.4","93.5","0.6","1.6","0.14"
"Ben May","33","4925","275","311.8","4650","4613.2","36.8","94.4","93.7","0.75","92","97.4","94","0.5","1.1","0.13"
"Bill Miller","30","4309","276","299","4033","4010","23","93.6","93.1","0.53","86.8","98.2","92.7","0.4","1.2","0.13"
"Bill Welke","18","2798","197","194.2","2601","2603.8","-2.8","93","93.1","-0.1","88.8","98","92.3","0.3","1.3","0.12"
"Brennan Miller","10","1486","95","91.7","1391","1394.3","-3.3","93.6","93.8","-0.22","91.5","95.8","94.6","0.5","1.4","0.15"
"Brian Gorman","17","2536","188","170.8","2348","2365.2","-17.2","92.6","93.3","-0.68","87.2","97.1","92.7","0.4","1.5","0.13"
"Brian Knight","23","3512","230","235.9","3282","3276.1","5.9","93.5","93.3","0.17","89.6","97.4","93","0.3","1.4","0.14"
"Brian O'Nora","26","3791","308","253.5","3483","3537.5","-54.5","91.9","93.3","-1.44","86.5","98.2","93.4","0.5","1.6","0.13"
"Bruce Dreckman","28","4404","317","272.4","4087","4131.6","-44.6","92.8","93.8","-1.01","86.7","97.1","93.4","0.5","1.6","0.14"
"Carlos Torres","28","4538","267","305.3","4271","4232.7","38.3","94.1","93.3","0.84","90.2","98.7","93.9","0.4","1.3","0.14"
"CB Bucknor","29","4195","303","255.5","3892","3939.5","-47.5","92.8","93.9","-1.13","87","97.1","92.9","0.5","1.3","0.13"
"Chad Fairchild","30","4642","328","314.9","4314","4327.1","-13.1","92.9","93.2","-0.28","85.6","96.8","93.6","0.6","1.6","0.15"
"Chad Whitson","28","4254","259","269.4","3995","3984.6","10.4","93.9","93.7","0.24","89.9","98.1","93","0.4","1.2","0.13"
"Charlie Ramos","2","339","22","20.9","317","318.1","-1.1","93.5","93.8","-0.32","92","95.2","93.8","1","2.1","0.19"
"Chris Conroy","30","4558","264","303.1","4294","4254.9","39.1","94.2","93.4","0.86","89.5","97.9","93.7","0.4","1.1","0.12"
"Chris Guccione","27","4109","252","269.8","3857","3839.2","17.8","93.9","93.4","0.43","88.4","97.5","93.5","0.6","1.3","0.14"
"Chris Segal","30","4655","290","303.3","4365","4351.7","13.3","93.8","93.5","0.29","88.2","99.1","93.5","0.4","1.3","0.13"
"Cory Blaser","28","4008","249","255.8","3759","3752.2","6.8","93.8","93.6","0.17","89.4","96.9","93.7","0.3","1","0.11"
"D.J. Reyburn","28","4364","266","271.4","4098","4092.6","5.4","93.9","93.8","0.12","89.3","97.1","94.1","0.4","1.3","0.14"
"Dan Bellino","31","4591*","271*","300.6*","4320*","4290.4*","29.6*","94.1*","93.5*","0.65*","90.5*","99*","93.6*","0.3*","1.2*","0.14*"
"Dan Iassogna","30","4701","317","295.1","4384","4405.9","-21.9","93.3","93.7","-0.47","90.2","97.2","93.5","0.4","1.5","0.14"
"Dan Merzel","22","3246*","214*","211.6*","3032*","3034.4*","-2.4*","93.4*","93.5*","-0.07*","89*","98.5*","93.5*","0.3*","1.3*","0.13*"
"David Rackley","27","4081","257","273.5","3824","3807.5","16.5","93.7","93.3","0.4","89.8","97.2","93.7","0.4","1.3","0.14"
"Doug Eddings","30","4345","325","286.5","4020","4058.5","-38.5","92.5","93.4","-0.89","87","98.5","92.6","0.6","1.6","0.15"
"Ed Hickox","18","2830","245","195.5","2585","2634.5","-49.5","91.3","93.1","-1.75","86.7","95.7","91.6","0.5","1.6","0.12"
"Edwin Moscoso","32","5071","261","321","4810","4750","60","94.9","93.7","1.18","90.6","98.6","93.6","0.5","1.2","0.14"
"Erich Bacchus","17","2646","182","184.5","2464","2461.5","2.5","93.1","93","0.09","87.2","96","92.9","0.3","1.3","0.13"
"Fieldin Culbreth","19","2762*","192*","178.4*","2570*","2583.6*","-13.6*","93*","93.5*","-0.49*","91*","97.9*","93.7*","0.3*","1.5*","0.14*"
"Gabe Morales","31","4770","262","310.1","4508","4459.9","48.1","94.5","93.5","1.01","91.6","98.2","94.2","0.4","1.1","0.13"
"Gerry Davis","10","1522","112","99.3","1410","1422.7","-12.7","92.6","93.5","-0.84","90","95.5","92.9","0.5","1.6","0.14"
"Greg Gibson","30","4658","366","314.7","4292","4343.3","-51.3","92.1","93.2","-1.1","85.8","96.2","92.9","0.6","1.7","0.14"
"Hunter Wendelstedt","24","3837","297","261.8","3540","3575.2","-35.2","92.3","93.2","-0.92","88.6","95.7","91.8","0.5","1.7","0.14"
"James Hoye","30","4792","281","315.6","4511","4476.4","34.6","94.1","93.4","0.72","90.6","97.4","94.1","0.4","1.3","0.14"
"Jansen Visconti","30","4550","238","306.4","4312","4243.6","68.4","94.8","93.3","1.5","90.9","98.8","93.6","0.3","1.1","0.14"
"Jeff Nelson","29","4493","294","308.9","4199","4184.1","14.9","93.5","93.1","0.33","89.8","97.7","93.4","0.5","1.3","0.13"
"Jeremie Rehak","30","4417","226","289.6","4191","4127.4","63.6","94.9","93.4","1.44","88.7","97.8","93.6","0.4","1.2","0.15"
"Jeremy Riggs","31","4607","257","302.1","4350","4304.9","45.1","94.4","93.4","0.98","89.7","97.4","94.2","0.4","1.1","0.13"
"Jerry Layne","5","804","58","55.6","746","748.4","-2.4","92.8","93.1","-0.29","91.1","94.8","93.8","0.7","1.6","0.13"
"Jerry Meals","30","4816","335","306.8","4481","4509.2","-28.2","93","93.6","-0.59","89.8","96.2","93.1","0.4","1.6","0.14"
"Jim Reynolds","21","3339","195","227.9","3144","3111.1","32.9","94.2","93.2","0.99","92.1","97.9","93.2","0.6","1.3","0.14"
"Jim Wolf","29","4350","241","287.3","4109","4062.7","46.3","94.5","93.4","1.06","91.4","98.2","94","0.4","1.2","0.15"
"Joe West","31","4774","381","287.5","4393","4486.5","-93.5","92","94","-1.96","86.8","96.5","93.4","0.6","1.6","0.13"
"John Bacon","10","1627","112","105.9","1515","1521.1","-6.1","93.1","93.5","-0.37","90.3","95.1","92.2","0.4","1.5","0.13"
"John Libka","31","4855","210","316.2","4645","4538.8","106.2","95.7","93.5","2.19","90.8","98.5","94.3","0.4","0.9","0.13"
"John Tumpane","20","2962","166","189.5","2796","2772.5","23.5","94.4","93.6","0.79","89.9","97.4","93.6","0.4","1.1","0.13"
"Jordan Baker","28","4320","257","284.3","4063","4035.7","27.3","94.1","93.4","0.63","87.9","98","94.1","0.3","1.1","0.12"
"Jose Navas","16","2563","170","173","2393","2390","3","93.4","93.2","0.12","90.2","96.6","92.8","0.6","1.6","0.15"
"Junior Valentine","14","2267","121","155.9","2146","2111.1","34.9","94.7","93.1","1.54","91.4","97.1","93.9","0.5","1.1","0.12"
"Kerwin Danley","14","2238","172","151.2","2066","2086.8","-20.8","92.3","93.2","-0.93","87.2","95.1","92.3","0.6","1.5","0.12"
"Kyle McCrady","2","339","22","26.2","317","312.8","4.2","93.5","92.3","1.24","92","94.9","92.9","0.1","1.2","0.11"
"Lance Barksdale","27","4235","251","288.7","3984","3946.3","37.7","94.1","93.2","0.89","89.9","99.4","93.3","0.4","1.3","0.14"
"Lance Barrett","29","4372","282","282.5","4090","4089.5","0.5","93.5","93.5","0.01","85.7","97.2","93.3","0.5","1.4","0.15"
"Larry Vanover","26","3894","291","263.1","3603","3630.9","-27.9","92.5","93.2","-0.72","87.4","97.2","93.4","0.4","1.5","0.14"
"Laz Diaz","27","4187","333","270.1","3854","3916.9","-62.9","92","93.5","-1.5","88.4","96.8","93.2","0.5","1.6","0.13"
"Lew Williams","1","139","6","6.9","133","132.1","0.9","95.7","95","0.67","95.7","95.7","95","0.6","1.2","0.2"
"Malachi Moore","7","1125","84","69.6","1041","1055.4","-14.4","92.5","93.8","-1.28","88.3","95.2","93.7","0.4","1.5","0.13"
"Manny Gonzalez","25","3836","219","257.2","3617","3578.8","38.2","94.3","93.3","1","90.5","97.3","93.3","0.4","1.1","0.13"
"Mark Carlson","26","3974","267","262.1","3707","3711.9","-4.9","93.3","93.4","-0.12","89.9","96.9","93.1","0.3","1.3","0.12"
"Mark Ripperger","25","3925","233","279.3","3692","3645.7","46.3","94.1","92.9","1.18","88.7","97","93","0.4","1.3","0.14"
"Mark Wegner","17","2643","148","161.1","2495","2481.9","13.1","94.4","93.9","0.5","91.2","97.2","93.3","0.4","1.2","0.13"
"Marty Foster","7","1141","83","80.9","1058","1060.1","-2.1","92.7","92.9","-0.18","90.4","96.6","93.4","0.5","1.6","0.14"
"Marvin Hudson","31","4676","313","312.8","4363","4363.2","-0.2","93.3","93.3","0","89.6","97.6","93.1","0.5","1.4","0.14"
"Mike Estabrook","30","4536","283","314.6","4253","4221.4","31.6","93.8","93.1","0.7","90.2","96.6","93.4","0.4","1.2","0.12"
"Mike Muchlinski","29","4412","284","295.5","4128","4116.5","11.5","93.6","93.3","0.26","88.3","96.7","94","0.4","1.4","0.14"
"Nate Tomlinson","1","150","11","9.2","139","140.8","-1.8","92.7","93.8","-1.18","92.7","92.7","92.7","0.2","1.2","0.11"
"Nestor Ceja","25","3839","247","259","3592","3580","12","93.6","93.3","0.31","89","97.9","93.4","0.5","1.4","0.14"
"Nic Lentz","27","3823*","200*","259.8*","3623*","3563.2*","59.8*","94.8*","93.2*","1.56*","90.4*","97.8*","93.4*","0.3*","0.9*","0.12*"
"Nick Mahrley","31","4552","263","300.6","4289","4251.4","37.6","94.2","93.4","0.83","91","97.6","94.1","0.4","1.1","0.13"
"Pat Hoberg","31","4480*","219*","296.3*","4261*","4183.7*","77.3*","95.1*","93.4*","1.72*","88.3*","98.8*","94*","0.3*","0.9*","0.13*"
