"Umpire","G","PC","IC","xIC","CC","xCC","CCAx","Acc","xAcc","AAx","minAcc","maxAcc","avgCon","avgFav","avgTRI","avgLev"
"Adam Beck","4","714","43","53.7","671","660.3","10.7","94","92.5","1.5","91.6","98","94","0.4","1.5","0.14"
"Adam Hamari","15","2231","180","155.9","2051","2075.1","-24.1","91.9","93","-1.08","88.2","96.5","92.1","0.4","1.5","0.13"
"Adrian Johnson","14","2289","165","154.6","2124","2134.4","-10.4","92.8","93.2","-0.46","86.9","95.9","93.1","0.4","1.5","0.13"
"Alan Porter","10","1442","77","94.1","1365","1347.9","17.1","94.7","93.5","1.18","91.5","98","94.7","0.4","0.9","0.11"
"Alex Tosi","6","947","60","70.8","887","876.2","10.8","93.7","92.5","1.14","90.4","97.1","93.6","0.5","1.2","0.12"
"Alfonso Marquez","14","2313","154","154","2159","2159","0","93.3","93.3","0","84.8","98.2","94.1","0.4","1.6","0.15"
"Andy Fletcher","12","1847","125","123.6","1722","1723.4","-1.4","93.2","93.3","-0.08","89.9","96.3","93.3","0.5","1.3","0.13"
"Angel Hernandez","12","1979","134","122.7","1845","1856.3","-11.3","93.2","93.8","-0.57","89.1","96.9","92.5","0.5","1.5","0.14"
"Ben May","11","1746","104","121.8","1642","1624.2","17.8","94","93","1.02","91.7","96.7","94","0.5","1.4","0.15"
"Bill Miller","15","2386","157","162.9","2229","2223.1","5.9","93.4","93.2","0.25","89.7","96.9","93.4","0.5","1.3","0.12"
"Bill Welke","10","1516","112","101.9","1404","1414.1","-10.1","92.6","93.3","-0.67","89.9","96.1","92.3","0.3","1.6","0.14"
"Brennan Miller","8","1256","80","81.2","1176","1174.8","1.2","93.6","93.5","0.09","88.1","96.3","93","0.6","1.4","0.14"
"Brian Knight","13","1983","137","143.8","1846","1839.2","6.8","93.1","92.8","0.34","87.2","97.1","93","0.6","1.3","0.13"
"Carlos Torres","13","2099","126","146.6","1973","1952.4","20.6","94","93","0.98","90.2","97.1","93.9","0.6","1.3","0.14"
"CB Bucknor","11","1725","124","110.3","1601","1614.7","-13.7","92.8","93.6","-0.79","90.2","95","93.6","0.4","1.6","0.14"
"Chad Fairchild","11","1776","129","131.7","1647","1644.3","2.7","92.7","92.6","0.15","89.6","96.1","93.4","0.5","1.6","0.14"
"Chad Whitson","11","1643","127","112.4","1516","1530.6","-14.6","92.3","93.2","-0.89","88","96","92.4","0.4","1.4","0.12"
"Chris Conroy","12","1967","132","132.3","1835","1834.7","0.3","93.3","93.3","0.01","90.4","96.5","93.2","0.6","1.6","0.15"
"Chris Guccione","12","1999","116","134.9","1883","1864.1","18.9","94.2","93.2","0.95","90.3","97.6","93.8","0.5","1.3","0.13"
"Chris Segal","12","1701","99","118","1602","1583","19","94.2","93.1","1.12","90.4","96.3","93.3","0.4","1","0.12"
"Clint Vondrak","3","476","37","31.2","439","444.8","-5.8","92.2","93.4","-1.21","90.3","95.3","92.3","0.8","2.5","0.2"
"Cory Blaser","14","2322","162","168.5","2160","2153.5","6.5","93","92.7","0.28","89.7","96.9","93.1","0.6","1.9","0.16"
"D.J. Reyburn","14","2204","132","139.3","2072","2064.7","7.3","94","93.7","0.33","89.2","97.7","93.3","0.4","1.4","0.15"
"Dan Bellino","12","1772","127","124","1645","1648","-3","92.8","93","-0.17","89.9","95.8","93","0.3","1.3","0.12"
"Dan Iassogna","11","1764","138","122.8","1626","1641.2","-15.2","92.2","93","-0.86","88.2","95.2","92.9","0.6","1.8","0.14"
"Dan Merzel","2","349","19","21.9","330","327.1","2.9","94.6","93.7","0.82","94.5","94.6","92.8","0.6","1.1","0.12"
"David Arrieta","3","465","27","33.9","438","431.1","6.9","94.2","92.7","1.49","92.5","96.8","92.8","0.2","1.1","0.12"
"David Rackley","10","1677","109","120.3","1568","1556.7","11.3","93.5","92.8","0.67","90.3","97.5","93.3","0.4","1.3","0.12"
"Doug Eddings","14","2285","202","175.3","2083","2109.7","-26.7","91.2","92.3","-1.17","86.1","94.2","92","0.5","2","0.14"
"Ed Hickox","12","1888","140","124.6","1748","1763.4","-15.4","92.6","93.4","-0.82","89.4","96.1","92.5","0.5","1.6","0.14"
"Edwin Moscoso","15","2547","152","174.5","2395","2372.5","22.5","94","93.1","0.88","91.5","96.3","93.4","0.5","1.4","0.14"
"Erich Bacchus","7","1030","81","63.4","949","966.6","-17.6","92.1","93.8","-1.71","90.7","95.1","93.7","0.5","1.7","0.14"
"Gabe Morales","13","2123","149","153.5","1974","1969.5","4.5","93","92.8","0.21","90.1","96.4","93.3","0.5","1.6","0.14"
"Hunter Wendelstedt","8","1275","89","92.4","1186","1182.6","3.4","93","92.7","0.27","89.1","98","92.6","0.4","1.8","0.16"
"James Hoye","12","1867","124","133.7","1743","1733.3","9.7","93.4","92.8","0.52","88","96.6","93.3","0.5","1.4","0.13"
"Jansen Visconti","11","1681","96","116.5","1585","1564.5","20.5","94.3","93.1","1.22","90.7","98.1","93.8","0.4","1.3","0.15"
"Jeff Nelson","9","1457","71","94.3","1386","1362.7","23.3","95.1","93.5","1.6","93.6","96.6","93.8","0.4","1.1","0.14"
"Jeremie Rehak","13","2067","110","140.2","1957","1926.8","30.2","94.7","93.2","1.46","92","99.2","94.2","0.3","1.3","0.15"
"Jeremy Riggs","2","363","20","26.5","343","336.5","6.5","94.5","92.7","1.78","93.7","95.2","92.8","0.8","1.3","0.13"
"Jerry Meals","13","2048","164","140.4","1884","1907.6","-23.6","92","93.1","-1.15","87.6","96.5","92.2","0.5","1.7","0.13"
"Jim Reynolds","12","1859","122","139.4","1737","1719.6","17.4","93.4","92.5","0.94","90.2","97.1","93.7","0.4","1.2","0.11"
"Jim Wolf","2","351","18","26.2","333","324.8","8.2","94.9","92.5","2.34","93.9","95.7","93.2","0.9","1.3","0.14"
"Joe West","11","1490","129","104.6","1361","1385.4","-24.4","91.3","93","-1.64","88.9","94.9","92.7","0.5","1.5","0.13"
"John Bacon","5","801","32","45.8","769","755.2","13.8","96","94.3","1.72","92.7","98","94.3","0.4","1","0.15"
"John Libka","13","2022","101","136.4","1921","1885.6","35.4","95","93.3","1.75","91.8","98.7","93.1","0.6","1.3","0.16"
"John Tumpane","12","1942","132","135.6","1810","1806.4","3.6","93.2","93","0.18","90.3","96.8","94.1","0.5","1.5","0.14"
"Jordan Baker","13","2134","110","136.1","2024","1997.9","26.1","94.8","93.6","1.22","91.4","96.9","93.3","0.4","1.2","0.14"
"Jose Navas","9","1524","120","101","1404","1423","-19","92.1","93.4","-1.24","88","95.1","92.5","0.5","2","0.15"
"Junior Valentine","4","719","42","54.4","677","664.6","12.4","94.2","92.4","1.72","92.3","96.8","92.4","0.4","1.6","0.15"
"Kyle McCrady","5","779","47","53.7","732","725.3","6.7","94","93.1","0.86","91.5","96.6","94.3","0.9","1.7","0.18"
"Lance Barksdale","11","1554","84","112.4","1470","1441.6","28.4","94.6","92.8","1.83","91.7","98.2","94.1","0.3","0.9","0.12"
"Lance Barrett","14","2118","160","146.7","1958","1971.3","-13.3","92.4","93.1","-0.63","85.7","97.3","92.2","0.5","1.6","0.14"
"Larry Vanover","9","1249","114","93.3","1135","1155.7","-20.7","90.9","92.5","-1.66","88.1","94.2","91.9","0.6","1.6","0.12"
"Laz Diaz","12","1907","147","126.2","1760","1780.8","-20.8","92.3","93.4","-1.09","89.6","95.5","93.7","0.5","1.5","0.13"
"Lew Williams","1","188","13","11.4","175","176.6","-1.6","93.1","94","-0.87","93.1","93.1","92","0.1","1.7","0.13"
"Malachi Moore","5","732","67","51.6","665","680.4","-15.4","90.8","93","-2.11","89.4","92.5","90.7","0.4","1.4","0.11"
"Manny Gonzalez","12","1757","128","130.9","1629","1626.1","2.9","92.7","92.5","0.17","89.4","95.6","92.7","0.5","1.5","0.14"
"Mark Carlson","11","1636","113","123.7","1523","1512.3","10.7","93.1","92.4","0.65","86.9","98","93.6","0.5","1.6","0.16"
"Mark Ripperger","14","2284","121","158.7","2163","2125.3","37.7","94.7","93.1","1.65","92.6","97.6","94.1","0.5","1.2","0.14"
"Mark Wegner","10","1591","123","119.2","1468","1471.8","-3.8","92.3","92.5","-0.24","89.1","96.2","93.5","0.6","1.7","0.14"
"Marty Foster","11","1680","107","115.8","1573","1564.2","8.8","93.6","93.1","0.53","91.4","94.9","93.1","0.5","1.1","0.12"
"Marvin Hudson","15","2414","155","160.8","2259","2253.2","5.8","93.6","93.3","0.24","87.8","96.1","93.1","0.5","1.4","0.14"
"Mike Estabrook","11","1663","93","114.8","1570","1548.2","21.8","94.4","93.1","1.31","92.9","96.1","94.6","0.4","1.1","0.13"
"Mike Muchlinski","16","2339","178","161.8","2161","2177.2","-16.2","92.4","93.1","-0.69","87.3","96.2","92.6","0.4","1.5","0.13"
"Nate Tomlinson","3","502","39","40.6","463","461.4","1.6","92.2","91.9","0.31","91.4","92.8","91.5","0.7","1.6","0.12"
"Nestor Ceja","3","491","26","31.9","465","459.1","5.9","94.7","93.5","1.21","92.3","96.2","94.7","0.1","0.9","0.1"
"Nic Lentz","11","1644","118","123.8","1526","1520.2","5.8","92.8","92.5","0.35","89.2","94.9","92.8","0.4","1.5","0.14"
"Nick Mahrley","11","1687","100","132.4","1587","1554.6","32.4","94.1","92.2","1.92","90.4","97.5","92.4","0.6","1.3","0.14"
"Pat Hoberg","12","1831","99","127.2","1732","1703.8","28.2","94.6","93.1","1.54","91.1","97.7","94.5","0.6","1.2","0.14"
"Paul Clemons","4","796","51","54.6","745","741.4","3.6","93.6","93.1","0.46","91.6","95.4","94.2","0.7","2","0.16"
"Paul Nauert","9","1367","116","91.1","1251","1275.9","-24.9","91.5","93.3","-1.82","87","94.2","93.8","0.4","1.7","0.13"
