"Umpire","G","PC","IC","xIC","CC","xCC","CCAx","Acc","xAcc","AAx","minAcc","maxAcc","avgCon","avgFav","avgTRI","avgLev"
"Quinn Wolcott","13","1902","143","147.6","1759","1754.4","4.6","92.5","92.2","0.24","87.3","96.6","93","0.5","1.4","0.12"
"Ramon De Jesus","12","2020","125","138.4","1895","1881.6","13.4","93.8","93.1","0.66","89","96.7","93.4","0.6","1.5","0.15"
"Randy Rosenberg","6","997","70","70.2","927","926.8","0.2","93","93","0.02","90.5","95","93.2","0.3","1.5","0.13"
"Rob Drake","14","2183","191","153.9","1992","2029.1","-37.1","91.3","93","-1.7","86","94.8","93.2","0.5","1.9","0.14"
"Roberto Ortiz","7","1071","64","74.3","1007","996.7","10.3","94","93.1","0.96","91.7","96","93.7","0.4","1.3","0.14"
"Ron Kulpa","12","1862","118","127.1","1744","1734.9","9.1","93.7","93.2","0.49","89","97.3","93.8","0.4","1.3","0.13"
"Ryan Additon","10","1587","107","109.1","1480","1477.9","2.1","93.3","93.1","0.13","87.4","96.1","93.2","0.5","1.4","0.13"
"Ryan Blakney","12","1981","136","128.2","1845","1852.8","-7.8","93.1","93.5","-0.39","89","97.9","93.6","0.6","1.8","0.16"
"Ryan Wills","2","286","13","21.7","273","264.3","8.7","95.5","92.4","3.03","95.3","95.6","93.2","0.9","1.3","0.21"
"Sean Barber","11","1821","131","133.6","1690","1687.4","2.6","92.8","92.7","0.14","88.7","96.5","92.9","0.5","1.6","0.13"
"Shane Livensparger","7","1123","64","71.5","1059","1051.5","7.5","94.3","93.6","0.67","91.4","96.9","93.9","0.4","1.3","0.14"
"Stu Scheurwater","13","2181","124","151.4","2057","2029.6","27.4","94.3","93.1","1.25","89.8","97.3","93.9","0.5","1.1","0.12"
"Ted Barrett","15","2262","201","169.3","2061","2092.7","-31.7","91.1","92.5","-1.4","87","94.8","91.7","0.7","1.9","0.14"
"Tim Timmons","10","1554","108","112","1446","1442","4","93.1","92.8","0.26","89.3","98.1","93","0.6","1.5","0.14"
"Todd Tichenor","11","1604","105","120","1499","1484","15","93.5","92.5","0.93","91.3","96.4","93.2","0.4","1.4","0.14"
"Tom Woodring","9","1484","97","117.1","1387","1366.9","20.1","93.5","92.1","1.35","91.7","96.4","92.1","0.5","1.5","0.14"
"Tripp Gibson","12","1872","107","125","1765","1747","18","94.3","93.3","0.96","89.4","97.2","93.5","0.5","1.2","0.14"
"Vic Carapazza","10","1514","112","103.3","1402","1410.7","-8.7","92.6","93.2","-0.57","88.9","97.5","92.7","0.4","1.7","0.15"
"Will Little","13","2179","117","151.9","2062","2027.1","34.9","94.6","93","1.6","90.9","97.4","93.2","0.4","1.3","0.14"
