"","Date","Umpire","Home","Away","R [H]","R [A]","PC","IC","xIC","CC","xCC","CCAx","Acc","xAcc","AAx","Con","Fav [H]","totRI"
"","2022-10-01","Adrian Johnson","WSH","PHI","13","4","155","10","11.7","145","143.3","1.7","93.5","92.4","1.1","90.3","-0.48","1.52"
"","2022-10-01","Ryan Blakney","WSH","PHI","2","8","152","11","8.5","141","143.5","-2.5","92.8","94.4","-1.7","94.7","0.38","0.96"
"","2022-10-01","Mark Carlson","NYY","BAL","8","0","115","2","7.6","113","107.4","5.6","98.3","93.4","4.8","100","-0.03","0.19"
"","2022-10-01","Jansen Visconti","CHC","CIN","2","1","145","10","7.6","135","137.4","-2.4","93.1","94.8","-1.7","96.6","-0.59","1.35"
"","2022-10-01","Pat Hoberg","TOR","BOS","10","0","153","11","11.7","142","141.3","0.7","92.8","92.4","0.5","94.1","0.02","1.44"
"","2022-10-01","Jeff Nelson","SF","AZ","4","8","160","11","11","149","149","0","93.1","93.1","0","93.1","-0.58","2.04"
"","2022-10-01","Sean Barber","SEA","OAK","5","1","138","12","10.6","126","127.4","-1.4","91.3","92.3","-1","90.6","0.07","2.31"
"","2022-10-01","Tripp Gibson","CLE","KC","1","7","163","9","10.7","154","152.3","1.7","94.5","93.4","1.1","96.3","-0.43","0.77"
"","2022-10-01","Charlie Ramos","DET","MIN","3","2","138*","12*","9.4*","126*","128.6*","-2.6*","91.3*","93.2*","-1.9*","96.4*","-0.13*","1.33*"
"","2022-10-01","Hunter Wendelstedt","MIL","MIA","3","4","161","12","10.9","149","150.1","-1.1","92.5","93.2","-0.7","91.3","0.29","1.41"
"","2022-10-01","Jeremie Rehak","STL","PIT","13","3","162","5","9.1","157","152.9","4.1","96.9","94.4","2.6","94.4","-0.26","0.64"
"","2022-10-01","James Hoye","HOU","TB","2","1","128","5","6.2","123","121.8","1.2","96.1","95.1","1","96.9","0.13","0.71"
"","2022-10-01","Bruce Dreckman","ATL","NYM","4","2","120","3","3.1","117","116.9","0.1","97.5","97.4","0.1","99.2","0.02","0.18"
"","2022-10-01","Adam Beck","SD","CWS","5","2","144","10","10.2","134","133.8","0.2","93.1","92.9","0.1","91.7","-2.37","2.87"
"","2022-10-01","Ben May","LAA","TEX","3","2","97","3","5","94","92","2","96.9","94.9","2","97.9","-0.29","0.29"
"","2022-10-01","Mark Wegner","LAD","COL","6","4","168","3","7.7","165","160.3","4.7","98.2","95.4","2.8","96.4","0.51","0.67"
"","2022-09-30","Marvin Hudson","WSH","PHI","1","5","180","13","12.2","167","167.8","-0.8","92.8","93.2","-0.4","93.3","-0.83","1.27"
"","2022-09-30","Brennan Miller","CHC","CIN","6","1","132","14","13.1","118","118.9","-0.9","89.4","90.1","-0.7","89.4","-0.69","1.21"
"","2022-09-30","Jordan Baker","NYY","BAL","1","2","168","15","9.4","153","158.6","-5.6","91.1","94.4","-3.3","93.5","0.05","1.47"
"","2022-09-30","Andy Fletcher","TOR","BOS","9","0","139","7","5.9","132","133.1","-1.1","95","95.7","-0.8","94.2","-0.31","0.91"
"","2022-09-30","Chad Fairchild","CLE","KC","6","3","116","10","7.6","106","108.4","-2.4","91.4","93.5","-2.1","94","0.2","1.02"
"","2022-09-30","John Libka","DET","MIN","0","7","140","4","9.6","136","130.4","5.6","97.1","93.2","4","95.7","-0.28","0.5"
"","2022-09-30","Nic Lentz","ATL","NYM","5","2","117","6","7.5","111","109.5","1.5","94.9","93.6","1.3","94","-0.06","0.58"
"","2022-09-30","Angel Hernandez","HOU","TB","3","7","124","5","5.9","119","118.1","0.9","96","95.2","0.7","94.4","0.39","1.23"
"","2022-09-30","Adam Hamari","MIL","MIA","1","0","111","2","4.7","109","106.3","2.7","98.2","95.7","2.5","93.7","0.91","0.91"
"","2022-09-30","Chris Conroy","STL","PIT","2","1","152","8","7.4","144","144.6","-0.6","94.7","95.1","-0.4","94.7","-0.18","0.9"
"","2022-09-30","David Arrieta","LAA","TEX","4","1","129","11","9.5","118","119.5","-1.5","91.5","92.6","-1.1","92.2","0.33","1.01"
"","2022-09-30","Larry Vanover","SEA","OAK","2","1","137","13","10.8","124","126.2","-2.2","90.5","92.1","-1.6","92","0.35","1.53"
"","2022-09-30","Lance Barksdale","SD","CWS","1","3","150","9","8.7","141","141.3","-0.3","94","94.2","-0.2","92.7","0.12","0.96"
"","2022-09-30","Quinn Wolcott","LAD","COL","10","1","140","8","9","132","131","1","94.3","93.6","0.7","95","-0.82","1.2"
"","2022-09-30","CB Bucknor","SF","AZ","10","4","161","9","9.2","152","151.8","0.2","94.4","94.3","0.1","95.7","-0.16","0.88"
"","2022-09-29","Clint Vondrak","DET","KC","10","3","133","5","7.2","128","125.8","2.2","96.2","94.6","1.6","94.7","-0.16","0.38"
"","2022-09-29","Jerry Meals","MIN","CWS","3","4","148","8","8","140","140","0","94.6","94.6","0","95.9","-0.35","0.91"
"","2022-09-29","Mike Muchlinski","BOS","BAL","5","3","156","14","12.7","142","143.3","-1.3","91","91.9","-0.8","93.6","0.65","1.29"
"","2022-09-29","Ted Barrett","CHC","PHI","2","0","152","14","11.1","138","140.9","-2.9","90.8","92.7","-1.9","93.4","-0.98","2.06"
"","2022-09-29","Dan Merzel","CLE","TB","2","1","131","6","7.6","125","123.4","1.6","95.4","94.2","1.2","93.9","0.56","1.12"
"","2022-09-29","Tom Hallion","MIL","MIA","2","4","143","6","5.5","137","137.5","-0.5","95.8","96.2","-0.4","94.4","-0.11","0.65"
"","2022-09-29","Malachi Moore","LAA","OAK","4","2","130","9","7.6","121","122.4","-1.4","93.1","94.2","-1.1","92.3","1.24","1.82"
"","2022-09-29","Edwin Moscoso","SD","LAD","2","5","167","11","11.4","156","155.6","0.4","93.4","93.2","0.3","94.6","-1.02","2.12"
"","2022-09-29","Will Little","SEA","TEX","10","9","194","11","11.7","183","182.3","0.7","94.3","94","0.3","92.8","0.07","1.49"
"","2022-09-29","Scott Barry","SF","COL","6","4","139","5","9.3","134","129.7","4.3","96.4","93.3","3.1","96.4","-0.01","0.41"
"","2022-09-28","Alex MacKay","PIT","CIN","4","3","130","5","6.1","125","123.9","1.1","96.2","95.3","0.8","94.6","0.36","0.74"
"","2022-09-28","Ryan Additon","CLE","TB","2","1","156","3","7.7","153","148.3","4.7","98.1","95.1","3","99.4","0.11","0.27"
"","2022-09-28","Bruce Dreckman","DET","KC","2","1","149","8","9.5","141","139.5","1.5","94.6","93.6","1","93.3","-0.62","1.02"
"","2022-09-28","Chad Whitson","WSH","ATL","3","2","148","8","10.3","140","137.7","2.3","94.6","93","1.5","94.6","-0.21","1.21"
"","2022-09-28","Brian O'Nora","TOR","NYY","3","8","155","5","5.7","150","149.3","0.7","96.8","96.3","0.5","95.5","-0.15","0.53"
"","2022-09-28","Shane Livensparger","BOS","BAL","3","1","136","8","8.2","128","127.8","0.2","94.1","94","0.1","94.1","0.39","0.83"
"","2022-09-28","John Tumpane","NYM","MIA","5","4","189","20","12.6","169","176.4","-7.4","89.4","93.3","-3.9","90.5","0.91","2.61"
"","2022-09-28","Mike Estabrook","CHC","PHI","4","2","122","7","7","115","115","0","94.3","94.3","0","91","-0.94","1.26"
"","2022-09-28","Vic Carapazza","MIN","CWS","8","4","145","18","10","127","135","-8","87.6","93.1","-5.5","89.7","-0.42","2.96"
"","2022-09-28","D.J. Reyburn","MIL","STL","5","1","168","11","8.5","157","159.5","-2.5","93.5","94.9","-1.5","93.5","-0.54","2.16"
"","2022-09-28","Alan Porter","HOU","AZ","2","5","137","10","8.6","127","128.4","-1.4","92.7","93.7","-1","89.8","0.06","1.2"
"","2022-09-28","Stu Scheurwater","LAA","OAK","4","1","146","17","9.8","129","136.2","-7.2","88.4","93.3","-5","91.8","-0.19","2.75"
"","2022-09-28","David Rackley","SD","LAD","0","1","169","10","9.5","159","159.5","-0.5","94.1","94.4","-0.3","94.1","0.37","1.47"
"","2022-09-28","Rob Drake","SEA","TEX","3","1","121","13","9","108","112","-4","89.3","92.6","-3.3","91.7","-0.48","1.52"
"","2022-09-28","Dan Iassogna","SF","COL","6","3","170","19","10.5","151","159.5","-8.5","88.8","93.8","-5","91.8","1.31","3.83"
"","2022-09-27","Mark Carlson","CLE","TB","5","6","192","11","11.7","181","180.3","0.7","94.3","93.9","0.4","92.2","0.38","1.46"
"","2022-09-27","Erich Bacchus","PIT","CIN","4","1","154","10","10.8","144","143.2","0.8","93.5","93","0.5","94.2","-0.16","1.32"
