"","Date","Umpire","Home","Away","R [H]","R [A]","PC","IC","xIC","CC","xCC","CCAx","Acc","xAcc","AAx","Con","Fav [H]","totRI"
"","2020-10-01","Marty Foster","ATL","CIN","5","0","148","8","9.2","140","138.8","1.2","94.6","93.8","0.8","95.3","0.48","1.34"
"","2020-10-01","Ted Barrett","OAK","CWS","6","4","184","13","11.5","171","172.5","-1.5","92.9","93.7","-0.8","89.7","-0.1","1.48"
"","2020-10-01","Cory Blaser","SD","STL","11","9","205","19","17.2","186","187.8","-1.8","90.7","91.6","-0.9","92.2","0.61","2.33"
"","2020-10-01","Quinn Wolcott","LAD","MIL","3","0","129","7","5.7","122","123.3","-1.3","94.6","95.6","-1","94.6","0.2","0.8"
"","2020-09-30","Stu Scheurwater","ATL","CIN","1","0","176","10","10.3","166","165.7","0.3","94.3","94.2","0.1","94.3","-0.61","1.53"
"","2020-09-30","Manny Gonzalez","MIN","HOU","1","3","159","11","10.7","148","148.3","-0.3","93.1","93.2","-0.2","92.5","-0.72","2.34"
"","2020-09-30","Pat Hoberg","CHC","MIA","1","5","156","6","9.3","150","146.7","3.3","96.2","94.1","2.1","96.2","-0.27","0.71"
"","2020-09-30","Mike Muchlinski","OAK","CWS","5","3","136","13","9.6","123","126.4","-3.4","90.4","93","-2.5","89","1.01","2.21"
"","2020-09-30","Chris Conroy","TB","TOR","8","2","150","11","11.8","139","138.2","0.8","92.7","92.2","0.5","95.3","-0.55","1.51"
"","2020-09-30","Gabe Morales","SD","STL","4","7","182","18","17.4","164","164.6","-0.6","90.1","90.4","-0.3","88.5","-0.92","1.88"
"","2020-09-30","John Tumpane","CLE","NYY","9","10","230","22","17.6","208","212.4","-4.4","90.4","92.3","-1.9","93.5","-1.9","3.6"
"","2020-09-30","Mark Ripperger","LAD","MIL","4","2","155","8","10","147","145","2","94.8","93.6","1.3","91.6","-0.15","0.77"
"","2020-09-29","D.J. Reyburn","MIN","HOU","1","4","184","15","11.9","169","172.1","-3.1","91.8","93.5","-1.7","92.9","-0.62","1.84"
"","2020-09-29","Adam Hamari","OAK","CWS","1","4","136","8","7.1","128","128.9","-0.9","94.1","94.8","-0.7","92.6","-0.12","1.02"
"","2020-09-29","Carlos Torres","TB","TOR","3","1","142","5","8.2","137","133.8","3.2","96.5","94.3","2.2","95.8","0.07","0.45"
"","2020-09-29","Jordan Baker","CLE","NYY","3","12","166","6","7.4","160","158.6","1.4","96.4","95.5","0.9","93.4","-0.44","0.68"
"","2020-09-27","Erich Bacchus","KC","DET","3","1","132","10","7.9","122","124.1","-2.1","92.4","94","-1.6","93.9","0.66","1.32"
"","2020-09-27","Junior Valentine","WSH","NYM","15","5","203","12","14.4","191","188.6","2.4","94.1","92.9","1.2","90.6","-0.63","2.49"
"","2020-09-27","Rob Drake","SF","SD","4","5","179","25","14.6","154","164.4","-10.4","86","91.8","-5.8","89.4","-1.54","3.84"
"","2020-09-27","Marvin Hudson","TEX","HOU","8","4","181","13","10.5","168","170.5","-2.5","92.8","94.2","-1.4","92.3","0.45","1.91"
"","2020-09-27","CB Bucknor","NYY","MIA","0","5","155","14","10.8","141","144.2","-3.2","91","93","-2.1","93.5","-0.32","2.42"
"","2020-09-27","John Bacon","TOR","BAL","5","7","152","3","10.4","149","141.6","7.4","98","93.2","4.9","96.7","0.51","0.51"
"","2020-09-27","Nick Mahrley","AZ","COL","11","3","144","8","12.3","136","131.7","4.3","94.4","91.5","3","92.4","0.04","0.88"
"","2020-09-27","Malachi Moore","LAD","LAA","5","0","146","11","8.8","135","137.2","-2.2","92.5","93.9","-1.5","92.5","0.09","1.15"
"","2020-09-27","Ramon De Jesus","CLE","PIT","8","6","142","9","11","133","131","2","93.7","92.3","1.4","92.3","0.15","0.65"
"","2020-09-27","Adrian Johnson","OAK","SEA","6","2","162","14","12.2","148","149.8","-1.8","91.4","92.5","-1.1","92","-0.54","1.3"
"","2020-09-27","Tim Timmons","MIN","CIN","3","5","187","4","12.7","183","174.3","8.7","97.9","93.2","4.6","93.6","0.06","0.5"
"","2020-09-27","David Rackley","TB","PHI","5","0","161","11","11.6","150","149.4","0.6","93.2","92.8","0.4","92.5","0.82","1.52"
"","2020-09-27","Marty Foster","ATL","BOS","1","9","175","12","15.1","163","159.9","3.1","93.1","91.4","1.8","92.6","0.92","1.52"
"","2020-09-27","Will Little","CWS","CHC","8","10","202","12","15.5","190","186.5","3.5","94.1","92.3","1.7","96.5","0.28","1.8"
"","2020-09-27","Mark Carlson","STL","MIL","5","2","159","9","14.7","150","144.3","5.7","94.3","90.8","3.6","93.7","-0.44","1.34"
"","2020-09-26","Jeff Nelson","NYY","MIA","11","4","180","9","16.2","171","163.8","7.2","95","91","4","92.8","-0.46","0.9"
"","2020-09-26","Vic Carapazza","WSH","NYM","4","3","117","13","7","104","110","-6","88.9","94","-5.1","89.7","0.87","1.33"
"","2020-09-26","David Arrieta","WSH","NYM","5","3","124","8","8.5","116","115.5","0.5","93.5","93.1","0.4","91.9","-0.26","0.94"
"","2020-09-26","Mark Ripperger","OAK","SEA","1","5","133","9","8.8","124","124.2","-0.2","93.2","93.4","-0.1","96.2","0.42","1.1"
"","2020-09-26","Quinn Wolcott","SEA","OAK","12","3","138","12","11.3","126","126.7","-0.7","91.3","91.8","-0.5","95.7","0.87","1.71"
"","2020-09-26","Carlos Torres","TOR","BAL","5","2","140","4","8.5","136","131.5","4.5","97.1","93.9","3.2","95","-0.2","0.28"
"","2020-09-26","Manny Gonzalez","KC","DET","3","4","138","10","7.9","128","130.1","-2.1","92.8","94.3","-1.5","93.5","0.44","1.1"
