"Umpire","G","PC","IC","xIC","CC","xCC","CCAx","Acc","xAcc","AAx","minAcc","maxAcc","avgCon","avgFav","avgTRI","avgLev"
"Adam Beck","29","4198","228","265.5","3970","3932.5","37.5","94.6","93.7","0.89","91.3","97.8","94","0.4","1","0.12"
"Adam Hamari","28","4228","226","271.5","4002","3956.5","45.5","94.7","93.6","1.08","89.4","97.7","92.9","0.4","1.1","0.14"
"Adrian Johnson","28","4343","271","261.2","4072","4081.8","-9.8","93.8","94","-0.23","89","96.9","93.7","0.4","1.3","0.13"
"Alan Porter","31","4642","221","300.7","4421","4341.3","79.7","95.2","93.5","1.72","91","98.7","94.5","0.3","1","0.14"
"Alex MacKay","17","2561","149","159.8","2412","2401.2","10.8","94.2","93.8","0.42","91.1","97.9","93.2","0.5","1.2","0.14"
"Alex Tosi","31","4847","240","316.1","4607","4530.9","76.1","95","93.5","1.57","90.6","97.9","94.1","0.3","1","0.13"
"Alfonso Marquez","28","4423","288","286.2","4135","4136.8","-1.8","93.5","93.5","-0.04","88.1","97.9","93.2","0.4","1.3","0.12"
"Andy Fletcher","30","4702","311","303.1","4391","4398.9","-7.9","93.4","93.6","-0.17","89.5","97.5","92.2","0.6","1.6","0.15"
"Angel Hernandez","10","1545","123","94.6","1422","1450.4","-28.4","92","93.9","-1.84","83.9","96","92.4","0.5","1.5","0.12"
"Ben May","29","4576","234","288.3","4342","4287.7","54.3","94.9","93.7","1.19","89.9","99.3","93.7","0.4","1.1","0.13"
"Bill Miller","31","4436","263","284.6","4173","4151.4","21.6","94.1","93.6","0.49","89.7","96.8","93.4","0.4","1.1","0.13"
"Brennan Miller","27","4110","245","258.7","3865","3851.3","13.7","94","93.7","0.33","90.2","97.7","93.2","0.5","1.2","0.14"
"Brian Knight","27","4034","243","256.5","3791","3777.5","13.5","94","93.6","0.34","90.1","97.5","93.6","0.5","1.2","0.14"
"Brian O'Nora","32","4800","339","300.2","4461","4499.8","-38.8","92.9","93.7","-0.81","87.8","97.3","93.6","0.4","1.4","0.13"
"Brian Walsh","13","2012","147","127.5","1865","1884.5","-19.5","92.7","93.7","-0.97","89.6","95.4","92.6","0.5","1.5","0.13"
"Brock Ballou","15","2362","114","152.2","2248","2209.8","38.2","95.2","93.6","1.62","91.3","98","93.4","0.2","0.9","0.12"
"Bruce Dreckman","29","4306","266","268.7","4040","4037.3","2.7","93.8","93.8","0.06","88.4","98","93.9","0.5","1.2","0.14"
"Carlos Torres","29","4573","282","311.9","4291","4261.1","29.9","93.8","93.2","0.65","87.7","98.6","93.2","0.5","1.3","0.13"
"CB Bucknor","26","4124","309","269.9","3815","3854.1","-39.1","92.5","93.5","-0.95","87.9","97.1","93.1","0.5","1.6","0.13"
"Chad Fairchild","30","4695","292","313","4403","4382","21","93.8","93.3","0.45","87.5","98.9","93.4","0.4","1.2","0.13"
"Chad Whitson","22","3328","177","196.4","3151","3131.6","19.4","94.7","94.1","0.58","88.1","97.4","94.3","0.5","1.1","0.14"
"Charlie Ramos","26","4028","257","256.3","3771","3771.7","-0.7","93.6","93.6","-0.02","88.5","97.3","93.4","0.4","1.3","0.14"
"Chris Conroy","1","165","6","11.8","159","153.2","5.8","96.4","92.8","3.52","96.4","96.4","95.2","0","0.7","0.11"
"Chris Guccione","30","4357","241","285.5","4116","4071.5","44.5","94.5","93.4","1.02","89.2","98.8","93.7","0.4","1.1","0.14"
"Chris Segal","30","4515","271","294.2","4244","4220.8","23.2","94","93.5","0.51","87.3","98.3","93.4","0.4","1.1","0.12"
"Clint Vondrak","30","4542","286","292.3","4256","4249.7","6.3","93.7","93.6","0.14","90.1","97.8","93.9","0.3","1.2","0.13"
"Cory Blaser","24","3641","222","237.2","3419","3403.8","15.2","93.9","93.5","0.42","91.2","96.9","93.1","0.4","1.3","0.14"
"D.J. Reyburn","32","5014","328","329.1","4686","4684.9","1.1","93.5","93.4","0.02","87.3","97.5","93.4","0.4","1.3","0.13"
"Dan Bellino","29","4578","253","281.7","4325","4296.3","28.7","94.5","93.8","0.63","90","96.7","94.2","0.4","1.1","0.12"
"Dan Iassogna","30","4822","318","296.5","4504","4525.5","-21.5","93.4","93.9","-0.45","87.8","96.6","92.9","0.5","1.3","0.13"
"Dan Merzel","30","4364","258","279","4106","4085","21","94.1","93.6","0.48","90.4","97","93.7","0.4","1.1","0.13"
"David Arrieta","4","587","39","36.2","548","550.8","-2.8","93.4","93.8","-0.47","92.2","94.5","93.6","0.4","1","0.1"
"David Rackley","30","4640","285","297.3","4355","4342.7","12.3","93.9","93.6","0.26","88.9","97","93.6","0.4","1.3","0.13"
"Derek Thomas","19","2911","139","176.5","2772","2734.5","37.5","95.2","93.9","1.29","89.1","99.2","95.2","0.4","0.9","0.13"
"Doug Eddings","30","4458","321","282.3","4137","4175.7","-38.7","92.8","93.7","-0.87","89.1","97","93","0.5","1.3","0.12"
"Edwin Jimenez","18","2699","143","168.3","2556","2530.7","25.3","94.7","93.8","0.94","89.6","98.3","93","0.3","0.9","0.11"
"Edwin Moscoso","33","5184","280","340.3","4904","4843.7","60.3","94.6","93.4","1.16","91.3","97.5","94.3","0.5","1.3","0.15"
"Emil Jimenez","26","3975","271","263","3704","3712","-8","93.2","93.4","-0.2","84.4","98.4","92.8","0.5","1.4","0.13"
"Erich Bacchus","29","4447","263","271.5","4184","4175.5","8.5","94.1","93.9","0.19","88.1","99.3","93.9","0.5","1.2","0.14"
"Gabe Morales","27","3917","245","243.6","3672","3673.4","-1.4","93.7","93.8","-0.03","89.6","96.8","93.5","0.5","1.2","0.13"
"Hunter Wendelstedt","28","4356","322","278.8","4034","4077.2","-43.2","92.6","93.6","-0.99","87.3","95.6","92.5","0.4","1.5","0.13"
"Jacob Metz","12","1858","96","120.5","1762","1737.5","24.5","94.8","93.5","1.32","92.1","97.4","94.8","0.5","1.2","0.15"
"James Hoye","30","4625","280","303","4345","4322","23","93.9","93.4","0.5","88.3","97.3","93.6","0.4","1.2","0.13"
"Jansen Visconti","28","4404","202","275.6","4202","4128.4","73.6","95.4","93.7","1.67","91.8","98.6","93.5","0.4","1","0.14"
"Jeff Nelson","28","4426","269","284.3","4157","4141.7","15.3","93.9","93.6","0.35","90.6","97","93.3","0.4","1.2","0.12"
"Jeremie Rehak","27","4259","217","261.6","4042","3997.4","44.6","94.9","93.9","1.05","91","97.9","94.2","0.4","1.1","0.14"
"Jeremy Riggs","22","3421","172","202.1","3249","3218.9","30.1","95","94.1","0.88","90.9","98.7","94.7","0.3","1.1","0.15"
"Jerry Layne","14","2162","144","128.4","2018","2033.6","-15.6","93.3","94.1","-0.72","89.7","97.5","92.8","0.4","1.3","0.12"
"Jim Wolf","30","4640","288","283.5","4352","4356.5","-4.5","93.8","93.9","-0.1","88.3","96.7","93.7","0.4","1.1","0.12"
"John Bacon","8","1293","78","92","1215","1201","14","94","92.9","1.08","90.4","96.9","93.1","0.4","1.2","0.12"
"John Libka","31","4710","251","299.8","4459","4410.2","48.8","94.7","93.6","1.04","90.3","97.9","93.9","0.4","1.1","0.14"
"John Tumpane","28","4323","241","270.1","4082","4052.9","29.1","94.4","93.8","0.67","89.8","98.5","94","0.3","1","0.12"
"Jordan Baker","26","4235","231","264.7","4004","3970.3","33.7","94.5","93.8","0.79","89.7","97.4","94","0.6","1.2","0.13"
"Jose Navas","5","734","41","45.5","693","688.5","4.5","94.4","93.8","0.61","89.2","97.5","93.3","0.1","0.9","0.11"
"Junior Valentine","29","4527","230","278.4","4297","4248.6","48.4","94.9","93.8","1.07","90.3","99.1","93.8","0.4","1.2","0.16"
"Lance Barksdale","29","4465","242","280.4","4223","4184.6","38.4","94.6","93.7","0.86","89.7","98.5","93.8","0.4","1.1","0.13"
"Lance Barrett","30","4609","304","287.8","4305","4321.2","-16.2","93.4","93.8","-0.35","90.3","97","93.7","0.5","1.4","0.14"
"Larry Vanover","11","1866","137","110","1729","1756","-27","92.7","94.1","-1.45","88.9","97.8","93.6","0.5","1.5","0.12"
"Laz Diaz","21","3064","217","187.4","2847","2876.6","-29.6","92.9","93.9","-0.97","88.6","98.6","93.6","0.6","1.4","0.13"
"Malachi Moore","29","4633","303","300.6","4330","4332.4","-2.4","93.5","93.5","-0.05","88.8","97.4","93.4","0.4","1.4","0.14"
"Manny Gonzalez","31","4718","291","302.5","4427","4415.5","11.5","93.8","93.6","0.24","88","98.6","93.4","0.4","1.1","0.12"
"Mark Carlson","27","4206","273","258.5","3933","3947.5","-14.5","93.5","93.9","-0.35","89.8","99.2","93.3","0.4","1.5","0.14"
"Mark Ripperger","29","4424","252","318.1","4172","4105.9","66.1","94.3","92.8","1.49","88.5","98.1","93.1","0.5","1.2","0.13"
"Mark Wegner","24","3844","217","243.3","3627","3600.7","26.3","94.4","93.7","0.68","88.3","97.6","93.6","0.4","1.2","0.14"
"Marvin Hudson","27","4147","270","280.6","3877","3866.4","10.6","93.5","93.2","0.26","89.6","96.6","94.1","0.5","1.5","0.15"
"Mike Estabrook","29","4713","240","288.2","4473","4424.8","48.2","94.9","93.9","1.02","90.8","98.2","94.1","0.7","1.4","0.17"
"Mike Muchlinski","29","4595","274","284.4","4321","4310.6","10.4","94","93.8","0.23","90.3","97.6","93.6","0.6","1.5","0.15"
"Nate Tomlinson","33","5352","273","360.9","5079","4991.1","87.9","94.9","93.3","1.64","90.9","98","94","0.5","1.2","0.14"
"Nestor Ceja","32","4833","253","313.5","4580","4519.5","60.5","94.8","93.5","1.25","91.5","99.2","93.8","0.4","1.1","0.13"
"Nic Lentz","30","4472","227","284.8","4245","4187.2","57.8","94.9","93.6","1.29","92.2","98.6","94.2","0.4","1","0.13"
"Nick Mahrley","31","4724","293","303.9","4431","4420.1","10.9","93.8","93.6","0.23","90.4","98.3","92.5","0.4","1.2","0.13"
"Pat Hoberg","28","4555","205","284.7","4350","4270.3","79.7","95.5","93.8","1.75","90.8","98.6","94.7","0.4","0.9","0.13"
"Paul Clemons","9","1367","85","82.5","1282","1284.5","-2.5","93.8","94","-0.19","92.1","95.6","94.3","0.4","1.2","0.13"
"Paul Emmel","9","1523","113","103.4","1410","1419.6","-9.6","92.6","93.2","-0.63","89.1","96.9","92.6","0.6","2","0.16"
"Phil Cuzzi","29","4294","244","257.5","4050","4036.5","13.5","94.3","94","0.31","91","96.4","94.3","0.6","1.2","0.15"
"Quinn Wolcott","29","4362","176","272.8","4186","4089.2","96.8","96","93.7","2.22","92.3","99.2","94.8","0.3","0.8","0.14"
"Ramon De Jesus","27","4279","241","275.6","4038","4003.4","34.6","94.4","93.6","0.81","85.6","97.6","93","0.5","1.1","0.13"
"Randy Rosenberg","1","111","4","8.9","107","102.1","4.9","96.4","91.9","4.45","96.4","96.4","94.6","0.8","0.8","0.19"
"Rob Drake","28","4409","296","267.9","4113","4141.1","-28.1","93.3","93.9","-0.64","87.3","98.2","93.3","0.4","1.4","0.13"
"Roberto Ortiz","29","4443","285","293.4","4158","4149.6","8.4","93.6","93.4","0.19","88.7","98.5","93.4","0.5","1.3","0.13"
"Ron Kulpa","25","3846","276","249.4","3570","3596.6","-26.6","92.8","93.5","-0.69","90.2","96.4","93","0.4","1.7","0.15"
"Ryan Additon","27","4156","245","276.9","3911","3879.1","31.9","94.1","93.3","0.77","89.8","97.2","93.1","0.4","1.2","0.13"
"Ryan Blakney","28","4367","293","296.7","4074","4070.3","3.7","93.3","93.2","0.08","88.6","97.4","93.1","0.6","1.5","0.14"
"Ryan Wills","32","4947","241","324","4706","4623","83","95.1","93.5","1.68","91.5","98.3","94.4","0.4","1.1","0.14"
"Scott Barry","9","1266","111","85.3","1155","1180.7","-25.7","91.2","93.3","-2.03","88.9","95.2","92.8","0.6","1.7","0.13"
"Sean Barber","27","4000","206","250.4","3794","3749.6","44.4","94.8","93.7","1.11","91.4","97.7","94.2","0.3","1","0.13"
